Kent-Sussex-Wessex	0871	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0871	SO110	TLP1	Bickley Jn	Petts Wood (Fast Tonbridge Loop)	Bickley Jn – Petts Wood (Fast Tonbridge Loop)	12	38	13	29	Y	E	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	TLP2	Bickley Jn	Petts Wood (Slow Tonbridge Loop)	Bickley Jn – Petts Wood (Slow Tonbridge Loop)	12	49	13	35	Y	E	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	CSM3	Hawkwood Jn (Up Chatham Loop)	St Mary Cray Jn	Hawkwood Jn (Up Chatham Loop) – St Mary Cray Jn	11	66	12	30	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	Bickley Jn	St Mary Cray Down Jn	Bickley Jn – St Mary Cray Down Jn	12	38	12	79	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	St Mary Cray Down Jn	St Mary Cray Up Jn	St Mary Cray Down Jn – St Mary Cray Up Jn	12	79	13	17	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	St Mary Cray Up Jn	Swanley Jn	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	Swanley Jn	Fawkham Jn	Swanley Jn – Fawkham Jn	17	46	22	49	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	Fawkham Jn	CTRL	Fawkham Jn – CTRL	22	49	0	00	Y	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0871	SO110	VIR	Fawkham Jn	Rochester Bridge Jn	Fawkham Jn – Rochester Bridge Jn	22	49	33	01	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	Rochester Bridge Jn	Gillingham	Rochester Bridge Jn – Gillingham	33	01	35	75	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO110	VIR	Gillingham	Western Jn	Gillingham – Western Jn	35	75	43	70	Y	N	N	N	N	N	N	Y	Y	Y	R1	R1 Prohibited Rainham Station Road LC to Western Jn
Kent-Sussex-Wessex	0871	SO110	VIR	Western Jn	Eastern Jn	Western Jn – Eastern Jn	43	70	44	18	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0871	SO110	VIR	Eastern Jn	Faversham Jn	Eastern Jn – Faversham Jn	44	18	52	13	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0871	SO110	VIR	Faversham Jn	Ramsgate Station	Faversham Jn – Ramsgate Station	52	13	79	21	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0871	SO110	ACR	Ramsgate Station	Ramsgate Substation	Ramsgate Station – Ramsgate Substation	85	67	85	22	Y	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0871	SO130	XTD	Charing Cross	Metropolitan Jn	Charing Cross – Metropolitan Jn	0	00	1	31	N	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO130	CBM	Cannon Street	Cannon Street Substation	Cannon Street – Cannon Street Substation	0	00	0	20	N	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO130	CSW	Cannon Street Sub Station	Metropolitan Jn (via Metropolitan Reversible line)	Cannon Street Sub Station – Metropolitan Jn (via Metropolitan Reversible line)	1	53	1	33	N	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO130	XTD	Metropolitan Jn	Borough Market Jn	Metropolitan Jn – Borough Market Jn	1	31	1	50	N	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO130	CBM	Cannon Street Substation	Borough Market Jn	Cannon Street Substation – Borough Market Jn	0	20	0	38	N	N	N	N	N	N	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0871	SO130	XTD	Borough Market Jn	London Bridge platforms 1-9	Borough Market Jn – London Bridge platforms 1-9	1	50	1	69	N	N	N	N	Y	Y	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0871	SO130	XTD	London Bridge platforms 1-9	North Kent East Jn	London Bridge platforms 1-9 – North Kent East Jn	1	69	4	25	N	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0871	SO130	XTD	North Kent East Jn	Tanners Hill Jn	North Kent East Jn – Tanners Hill Jn	4	25	5	29	N	N	N	N	Y	Y	N	Y	Y	Y	Y	
