Kent-Sussex-Wessex	0886	Line of route	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0886	SO130	XTD	MetropolitanJn	Borough Market Jn	MetropolitanJn–BoroughMarketJn	1	31	1	50	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	CBM	CannonStreetSubstation	Borough Market Jn	CannonStreetSubstation–BoroughMarketJn	0	20	0	38	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	BoroughMarketJn	London Bridge platforms 1-9	BoroughMarketJn–LondonBridgeplatforms1-9	1	50	1	69	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	LondonBridgeplatforms1-9	North Kent East Jn	LondonBridgeplatforms1-9–NorthKentEastJn	1	69	4	25	Y	Y	R1 R2	N	N	N	N	R1 Prohibited between Blue Anchor and North Kent East Jn R2 No.5 Down line, clear to crossovers to and from Sussex side lines and Up Passenger Loop between London Bridge and Spa Road Jn
Kent-Sussex-Wessex	0886	SO130	XTD	NorthKentEastJn	Tanners Hill Jn	NorthKentEastJn–TannersHillJn	4	25	5	29	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	TannersHillJn	Parks Bridge Jn	TannersHillJn–ParksBridgeJn	5	29	6	14	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	LLL	ParksBridgeJn–LadywellJn		ParksBridgeJn–LadywellJn	6	14	6	29	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	ParksBridgeJn	Courthill Loop South Jn	ParksBridgeJn–CourthillLoopSouthJn	6	14	6	21	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	CourthillLoopSouthJn	Hither Green Jn	CourthillLoopSouthJn–HitherGreenJn	6	21	7	04	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	HitherGreenJn	Lee Spur Jn	HitherGreenJn–LeeSpurJn	7	04	7	44	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	LeeSpurJn	Chislehurst Jn	LeeSpurJn–ChislehurstJn	7	44	11	33	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	CSM1	ChislehurstJn	St Mary Cray Down Jn via Reversible Chatham Loop	ChislehurstJn–StMaryCrayDownJnviaReversibleChathamLoop	11	33	11	71	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	CSM3	ChislehurstJn	Hawkwood Jn (Up Chatham Loop)	ChislehurstJn–HawkwoodJn(UpChathamLoop)	11	33	11	66	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	ChislehurstJn	Petts Wood Jns	ChislehurstJn–PettsWoodJns	11	33	12	27	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	PettsWoodJns	Sevenoaks Substation	PettsWoodJns–SevenoaksSubstation	12	27	21	74	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	SevenoaksSubstation	Tonbridge West Jn	SevenoaksSubstation–TonbridgeWestJn	21	74	29	35	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	TonbridgeWestJn	Tonbridge East Jn	TonbridgeWestJn–TonbridgeEastJn	29	35	29	55	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	TonbridgeEastJn	Paddock Wood	TonbridgeEastJn–PaddockWood	29	55	34	67	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0886	SO130	XTD	PaddockWood	Ashford (Jn with Maidstone line)	PaddockWood–Ashford(JnwithMaidstoneline)	34	67	55	54	Y	Y	Y	N	N	N	N	
