Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	442	444	450	455	456	458	508	700	707	Notes
Kent-Sussex-Wessex	1069	SW100	BML1	West London Jn – Ludgate Jn (Main lines)	3	17	3	57	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1069	SW100	FLL2/3	Route Boundary (Sussex SO250) (Longhedge Jn) – Ludgate Jn	1	77	3	57	E	Y	Y	Y	Y	N	Y	N	E	
Kent-Sussex-Wessex	1069	SW100	CJL	Ludgate Jn – Route Boundary (Sussex SO250) (Latchmere Jn No.2)	0	30	0	47	Y	Y	Y	Y	Y	EH	Y	N	E	
Kent-Sussex-Wessex	1069	SW100	RDG1	Ludgate Jn – Clapham Jn (Windsor lines)	3	57	3	74	Y	R1	Y	Y	Y	Y	Y	N	N	R1 Prohibited Clapham platform 1
Kent-Sussex-Wessex	1069	SW100	BML1	Ludgate Jn – Clapham Jn (Main lines)	3	57	3	74	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1069	SW105	BML1	Clapham Jn – Wimbledon platforms 5, 6, 7 and 8	3	74	7	19	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1069	SW105	PPW	Wimbledon North Jn – Wimbledon platforms 1, 2, 3 and 4 (District line)	8	26	8	47	R1	Y	Y	R1	R1	Y	R1	N	N	R1 Prohibited Wimbledon platforms 1, 2 and 3
Kent-Sussex-Wessex	1069	SW105	BML1	Wimbledon platforms 5, 6, 7 and 8 – Wimbledon West Jn	7	19	7	49	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1069	SW105	BML1	Wimbledon West Jn – Hampton Court Jn	7	49	13	27	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1069	SW105	BML1	Hampton Court Jn – Woking	13	27	24	27	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1069	SW105	BML1	Woking – Basingstoke	24	27	47	61	R1	Y	Y	R1	R1	R2	R1	N	N	R1 Prohibited Basingstoke platform 5 R2 30mph Brookwood platform 2
Kent-Sussex-Wessex	1069	SW105	BML1	Basingstoke – Eastleigh West Jn	47	61	73	42	Y	Y	Y	R1 R2	Y	Y	Y	N	N	R1 Prohibited between Eastleigh Depot and Eastleigh West Jn when laden R2 Prohibited between Eastleigh Depot and Eastleigh West Jn with deflated suspension
Kent-Sussex-Wessex	1069	SW105	BML1	Eastleigh West Jn – St Denys	73	42	77	10	Y	Y	Y	E R1	E	Y	N	N	N	R1 Prohibited with deflated suspension
Kent-Sussex-Wessex	1069	SW105	BML1	St Denys – Northam Jn	77	10	78	15	Y	Y	Y	E R1	E	Y	N	N	N	R1 Prohibited with deflated suspension
Kent-Sussex-Wessex	1069	SW105	BML2	Northam Jn – Worgret Jn	78	15	121	77	Y	Y	Y	E R1 R2	N	R3	N	N	N	R1 Prohibited with deflated suspension R2 Prohibited between Bournemouth and Worgret Jn R3 30mph Southampton platform 2
Kent-Sussex-Wessex	1069	SW105	FUR	Worgret Jn – Network Rail Boundary (Swanage Railway)	126	30	126	61	N	N	N	N	N	N	N	N	N	R1 Prohibited Furzebrook Sidings
Kent-Sussex-Wessex	1069	SW105	BML2	Worgret Jn – Dorchester Jn	121	77	136	15	Y	Y	Y	N	N	Y	N	N	N	
Kent-Sussex-Wessex	1069	SW105	BML3	Dorchester Jn – Weymouth	162	14	168	63	Y	Y	Y	N	N	Y	N	N	N	
