Kent-Sussex-Wessex	0892	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0892	SO500	VTB3	Change of Mileage (Quarry / Fast lines)–Three Bridges		Change of Mileage (Quarry / Fast lines)–Three Bridges	21	15	29	21	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	VTB3	Three Bridges	Copyhold Jn	Three Bridges – Copyhold Jn	29	21	36	73	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	CJA1	Copyhold Jn	Change of Mileage	Copyhold Jn – Change of Mileage	36	73	36	33	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	CJA2	Change of Mileage	Ardingly Sidings	Change of Mileage – Ardingly Sidings	0	00	0	70	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	VTB3	Copyhold Jn	Keymer Jn	Copyhold Jn – Keymer Jn	36	73	40	69	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	VTB3	Keymer Jn	Preston Park Jn	Keymer Jn – Preston Park Jn	40	69	49	43	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	PPH	Preston Park Jn	Hove Jn	Preston Park Jn – Hove Jn	49	21	50	44	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO500	VTB3	Preston Park Jn	Brighton	Preston Park Jn – Brighton	49	43	50	49	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	London Bridge platforms 10-15	Bricklayers Arms Jn	London Bridge platforms 10-15 – Bricklayers Arms Jn	0	00	2	12	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	Bricklayers Arms Jn	New Cross Gate Up Jn	Bricklayers Arms Jn – New Cross Gate Up Jn	2	12	2	60	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	ELL1	New Cross Gate Up Jn	Network Rail Boundary / Up ELL	New Cross Gate Up Jn – Network Rail Boundary / Up ELL	5	51	5	49	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	New Cross Gate Up Jn	New Cross Gate Down Jn	New Cross Gate Up Jn – New Cross Gate Down Jn	2	60	3	10	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	ELL1	New Cross Gate Down Jn	Network Rail Boundary / Down ELL	New Cross Gate Down Jn – Network Rail Boundary / Down ELL	6	02	5	79	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	New Cross Gate Down Jn	Sydenham Down Jn	New Cross Gate Down Jn – Sydenham Down Jn	3	10	6	51	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	Sydenham Down Jn	Norwood Jn	Sydenham Down Jn – Norwood Jn	6	51	8	55	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	Norwood Jn	Norwood Fork Jn	Norwood Jn –Norwood Fork Jn	8	55	9	33	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	LBW	Norwood Fork Jn	Cottage Jn / Windmill Bridge Jn	Norwood Fork Jn – Cottage Jn / Windmill Bridge Jn	9	33	9	64	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	NFE	Norwood Fork Jn	Sutton	Norwood Fork Jn – Sutton	9	33	14	75	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO510	NFE	Sutton	Epsom Downs	Sutton – Epsom Downs	14	75	18	60	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0892	SO520	TBH1	Three Bridges	Crawley	Three Bridges –Crawley	29	21	30	49	Y	Y	Y	N	N	N	N	
