Kent-Sussex-Wessex	1023	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Kent-Sussex-Wessex	1023	SW115	LAV	Laverstock North Jn	Laverstock South Jn	Laverstock North Jn – Laverstock South Jn	82	05	82	39	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW115	BAE1	Laverstock North Jn	Salisbury Tunnel Jn	Laverstock North Jn – Salisbury Tunnel Jn	82	05	82	36	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW115	BAE1	Salisbury Tunnel Jn	Fisherton Short Mile Change of Mileage	Salisbury Tunnel Jn – Fisherton Short Mile Change of Mileage	82	36	83	72	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW115	BAE2	Fisherton Short Mile Change of Mileage	Wilton Jn	Fisherton Short Mile Change of Mileage – Wilton Jn	84	00	85	37	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW115	BAE2	Wilton Jn	Gillingham	Wilton Jn – Gillingham	85	37	105	23	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW115	BAE2	Gillingham	Yeovil Jn	Gillingham – Yeovil Jn	105	23	122	48	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW115	BAE2	Yeovil Jn	Route Boundary (GW610) (Exeter St Davids Jn)	Yeovil Jn – Route Boundary (GW610) (Exeter St Davids Jn)	122	48	164	30	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW120	PAA1	Pirbright Jn	Ash Vale Jn	Pirbright Jn – Ash Vale Jn	29	39	32	30	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1023	SW120	PAA1	Ash Vale Jn	Change of ELR	Ash Vale Jn – Change of ELR	32	30	36	75	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1023	SW120	PAA2	Change of ELR	Connection to Farnham Depot	Change of ELR – Connection to Farnham Depot	39	22	42	70	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1023	SW120	PAA2	Connection to Farnham Depot	Alton	Connection to Farnham Depot – Alton	42	70	49	13	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1023	SW125	BKE	Route Boundary GW500 (Southcote Jn)	Basingstoke	Route Boundary GW500 (Southcote Jn) – Basingstoke	37	76	51	39	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW130	ECR	Eastleigh East Jn	Romsey	Eastleigh East Jn – Romsey	73	35	80	47	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW135	ETF	Eastleigh West Jn	Fareham	Eastleigh West Jn – Fareham	73	42	84	21	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	SDP1	St Denys	Change of ELR	St Denys – Change of ELR	1	59	14	15	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	SDP2	Change of ELR	Fareham	Change of ELR – Fareham	84	10	84	21	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	SDP2	Fareham	Quay Viaduct	Fareham – Quay Viaduct	84	21	84	77	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	SDP2	Quay Viaduct	Cosham	Quay Viaduct – Cosham	84	77	90	06	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	SDP2	Cosham	Cosham Jn	Cosham – Cosham Jn	90	06	90	43	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	SDP2	Cosham Jn	Portcreek Jn	Cosham Jn – Portcreek Jn	90	43	91	01	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW140	FJJ	Cosham Jn	Farlington Jn	Cosham Jn – Farlington Jn	90	43	91	14	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW145	SOY	Northam Jn	Canute Road LC (AOCL) (Eastern Docks)	Northam Jn – Canute Road LC (AOCL) (Eastern Docks)	78	15	79	02	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1023	SW150	RTJ1	Redbridge Jn	Romsey Jn	Redbridge Jn – Romsey Jn	23	32	18	16	Y	Y	Y	N	N	N	N	
