Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0944	SO130	XTD	Metropolitan Jn – Borough Market Jn	1	31	1	50	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	CBM	Cannon Street Substation – Borough Market Jn	0	20	0	38	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Borough Market Jn – London Bridge platforms 1-9	1	50	1	69	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	London Bridge platforms 1-9 – North Kent East Jn	1	69	4	25	Y	Y	R1 R2	N	N	N	N	R1 Prohibited between Blue Anchor and North Kent East Jn R2 No.5 Down line, clear to crossovers to and from Sussex side lines and Up Passenger Loop between London Bridge and Spa Road Jn
Kent-Sussex-Wessex	0944	SO130	XTD	North Kent East Jn – Tanners Hill Jn	4	25	5	29	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Tanners Hill Jn – Parks Bridge Jn	5	29	6	14	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	LLL	Parks Bridge Jn – Ladywell Jn	6	14	6	29	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Parks Bridge Jn – Courthill Loop South Jn	6	14	6	21	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Courthill Loop South Jn – Hither Green Jn	6	21	7	04	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Hither Green Jn – Lee Spur Jn	7	04	7	44	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Lee Spur Jn – Chislehurst Jn	7	44	11	33	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	CSM1	Chislehurst Jn – St Mary Cray Down Jn via Reversible Chatham Loop	11	33	11	71	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	CSM3	Chislehurst Jn – Hawkwood Jn (Up Chatham Loop)	11	33	11	66	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Chislehurst Jn – Petts Wood Jns	11	33	12	27	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Petts Wood Jns – Sevenoaks Substation	12	27	21	74	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Sevenoaks Substation – Tonbridge West Jn	21	74	29	35	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Tonbridge West Jn – Tonbridge East Jn	29	35	29	55	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Tonbridge East Jn – Paddock Wood	29	55	34	67	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0944	SO130	XTD	Paddock Wood – Ashford (Jn with Maidstone line)	34	67	55	54	Y	Y	Y	N	N	N	N	
