Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	442	444	450	455	456	458	508	700	707	Notes
Kent-Sussex-Wessex	1072	SW160	BLP	Brockenhurst – Lymington Pier	92	66	98	15	N	N	R1	N	Y	R2	N	N	N	R1 Prohibited between Lymington Town and Lymington Pier if the vehicle stop board is removed (located 146.5m from the top ramp at Lymington Pier) R2 Class 458/5 only
Kent-Sussex-Wessex	1072	SW165	HAG	Hamworthy – Hamworthy Goods (Stop board)	115	77	118	05	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1072	SW170	SAL	Wilton Jn – Route Boundary Western (GW5001) (Westbury South Jn)	132	33	115	40	R1	N	N	N	N	N	N	N	N	R1 Prohibited with footsteps fitted
Kent-Sussex-Wessex	1072	SW175	WEY	Route Boundary (GW500) (Castle Cary Jn) – Yeovil Pen Mill Jn	130	00	141	35	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1072	SW175	YJP	Yeovil Pen Mill Jn – Yeovil Jn	1	42	0	00	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1072	SW175	WEY	Yeovil Pen Mill Jn – Dorchester Jn	141	35	162	14	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1072	SW180	RPE	Raynes Park – Epsom (Change of ELR)	8	51	14	18	N	Y	Y	Y	Y	R1	Y	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1072	SW180	BTH2	Route Boundary Sussex (Ewell East) – Epsom [Duplicated in SO680]	17	33	18	73	N	Y	Y	Y	Y	N	Y	Y	N	
Kent-Sussex-Wessex	1072	SW180	BTH3	Epsom (Change of ELR) – Leatherhead [Duplicated in SO680]	14	27	18	02	N	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1072	SW180	BTH3	Leatherhead – Route Boundary Sussex (Horsham) [Duplicated in SW180]	18	02	21	09	N	N	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1072	SW180	BTH3	Route Boundary Sussex (Leatherhead) – Horsham jn (SO520) [Duplicated in SO680]	21	09	35	34	N	N	Y	Y	Y	R1 R2	Y	Y	N	R1 Class 458/5 permitted between Route Boundary Sussex (Leatherhead and Dorking R2 Prohibited Dorking Loop platform 3
Kent-Sussex-Wessex	1072	SW185	MPC	Motspur Park – Chessington South	9	57	13	73	N	N	Y	R1	R1	R2	R1	N	N	R1 10mph Chessington South Up sidings (former platform line) R2 Class 458/5 only
Kent-Sussex-Wessex	1072	SW190	NMS1	New Malden – Fulwell Jn	9	62	14	53	Y	N	Y	Y	Y	R1	Y	N	N	R1 Prohibited Kingston Bay platform 1
Kent-Sussex-Wessex	1072	SW190	NMS2	Fulwell Jn – Shepperton	12	56	18	73	Y	N	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1072	SW195	HAM	Hampton Court Jn – Hampton Court Up line	13	27	14	76	N	N	Y	Y	Y	R1	Y	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1072	SW195	HAM	Hampton Court Jn – Hampton Court Down line	13	27	14	76	N	N	Y	Y	Y	R1	Y	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1072	SW200	NGL	Hampton Court Jn – Effingham Jn	13	27	21	04	Y	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1072	SW200	NGL	Effingham Jn – Guilford	21	04	29	70	Y	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1072	SW205	LEJ	Leatherhead – Effingham Jn	18	02	22	15	N	Y	Y	Y	Y	R1	Y	Y	N	R1 Class 458/5 only
