Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	313	319	325	377	378	380	387	Notes
Kent-Sussex-Wessex	1061	SW100	RDG1	Ludgate Jn – Clapham Jn (Windsor lines)	3	57	3	74	R1	Y	H	R2	Y	N	R3	R1 Prohibited Clapham platforms 2, 3, 4, 5 and 6 R2 Classes 377/1-377/5 prohibited Clapham platforms 3, 4, 5 and 6 R3 Prohibited: • Clapham platform 3 (Up Windsor Slow) • Clapham platform 4 (Up Windsor Fast) • Clapham platform 5 (Down Windsor Fast) • Clapham platform 6 (Down Windsor Slow)
Kent-Sussex-Wessex	1061	SW100	BML1	Ludgate Jn – Clapham Jn (Main lines)	3	57	3	74	N	Y	H	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	BML1	Clapham Jn – Wimbledon platforms 5, 6, 7 and 8	3	74	7	19	N	Y	H	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	PPW	Wimbledon North Jn – Wimbledon platforms 1, 2, 3 and 4 (District line)	8	26	8	47	N	R1	N	N	N	N	N	R1 Prohibited Wimbledon platforms 1, 2 and 3
Kent-Sussex-Wessex	1061	SW105	BML1	Wimbledon platforms 5, 6, 7 and 8 – Wimbledon West Jn	7	19	7	49	N	Y	H	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	BML1	Wimbledon West Jn – Hampton Court Jn	7	49	13	27	N	Y	H	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	BML1	Hampton Court Jn – Woking	13	27	24	27	N	Y	H	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	BML1	Woking – Basingstoke	24	27	47	61	N	R1	H R1	N	N	N	N	R1 Prohibited Basingstoke platform 5
Kent-Sussex-Wessex	1061	SW105	BML1	Basingstoke – Eastleigh West Jn	47	61	73	42	R1	Y	H	R1	N	N	R1	R1 Prohibited between Basingstoke and Eastleigh East Jn
Kent-Sussex-Wessex	1061	SW105	BML1	Eastleigh West Jn – St Denys	73	42	77	10	R1	N	N	Y	N	N	Y	R1 3-car operation
Kent-Sussex-Wessex	1061	SW105	BML1	St Denys – Northam Jn	77	10	78	15	R1	N	N	Y	N	N	Y	R1 3-car operation
Kent-Sussex-Wessex	1061	SW105	BML2	Northam Jn – Worgret Jn	78	15	121	77	R1	N	N	R1	N	N	R1	R1 Prohibited between Southampton Central and Worgret Jn
Kent-Sussex-Wessex	1061	SW105	FUR	Worgret Jn – Network Rail Boundary (Swanage Railway)	126	30	129	55	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	BML2	Worgret Jn – Dorchester Jn	121	77	136	15	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1061	SW105	BML3	Dorchester Jn – Weymouth	162	14	168	63	N	N	N	N	N	N	N	
