Kent-Sussex-Wessex	0983	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	121	150	153	156	158	159	165	Notes
Kent-Sussex-Wessex	0983	SW105	BML2	Northam Jn	Worgret Jn	Northam Jn – Worgret Jn	78	15	121	77	Y	R1 R2 R3 R4	R5 R6 R7	Y	R8 R9	R8 R9	N	R1 Prohibited between Redbridge and Worgret Jn on the Down line R2 Prohibited between Redbridge and Worgret Jn on the Up line when laden, additionally 10mph through station platforms R3 Prohibited with deflated suspension R4 Prohibited Southampton Central Down Bay Siding and Bay Siding East R5 Prohibited between Redbridge and Worgret Jn R6 20mph Southampton Central platform 1 R7 30mph Southampton Central platform 3 R8 30mph Totton Up platform R9 20mph Sway Down platform
Kent-Sussex-Wessex	0983	SW105	FUR	Worgret Jn	Network Rail Boundary (Swanage Railway)	Worgret Jn – Network Rail Boundary (Swanage Railway)	126	30	129	55	N	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0983	SW105	BML2	Worgret Jn	Dorchester Jn	Worgret Jn – Dorchester Jn	121	77	136	15	Y	E R1 R2 R3	N	Y	Y	Y	N	R1 Prohibited on the Down line R2 10mph through station platforms R3 Prohibited with deflated suspension
Kent-Sussex-Wessex	0983	SW105	BML3	Dorchester Jn	Weymouth	Dorchester Jn – Weymouth	162	14	168	63	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	0983	SW110	WPH1	Woking Jn	Guilford	Woking Jn – Guilford	24	62	30	27	Y	N	N	N	R1 R2	R1 R2	R3 R4	R1 15mph Worplesdon Up platform 1 R2 30mph Worplesdon Down platform 2 R3 10mph through Worplesdon R4 Prohibited Guildford platform 1
Kent-Sussex-Wessex	0983	SW110	WPH1	Guilford	Shalford Jn	Guilford – Shalford Jn	30	27	31	42	Y	N	N	N	Y	Y	Y	
Kent-Sussex-Wessex	0983	SW110	WPH1	Shalford Jn	Haslemere	Shalford Jn – Haslemere	31	42	42	79	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0983	SW110	WPH1	Haslemere	Havant Jn	Haslemere – Havant Jn	42	79	66	17	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0983	SW110	TBH2	Route Boundary (Sussex SO250) (Barnham)	Havant Jn [Duplicated on SO520]	Route Boundary (Sussex SO250) (Barnham) – Havant Jn [Duplicated on SO520]	35	35	37	25	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0983	SW110	WPH2	Havant Jn	Farlington Jn [Duplicated on SO520]	Havant Jn – Farlington Jn [Duplicated on SO520]	37	24	40	33	Y	Y	N	Y	Y	Y	N	
