Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	395	442	444	450	456	458	465	466	508	700	707	Notes
Kent-Sussex-Wessex	0935	SO500	VTB3	Three Bridges – Copyhold Jn	29	21	36	73	N	Y	N	N	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0935	SO500	CJA1	Copyhold Jn – Change of Mileage	36	73	36	33	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0935	SO500	CJA2	Change of Mileage – Ardingly Sidings	0	00	0	70	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0935	SO500	VTB3	Copyhold Jn – Keymer Jn	36	73	40	69	N	Y	N	N	Y	N	N	N	Y	R1	N	R1 Prohibited Haywards Heath Down Goods Loop
Kent-Sussex-Wessex	0935	SO500	VTB3	Keymer Jn – Preston Park Jn	40	69	49	43	N	Y	N	N	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0935	SO500	PPH	Preston Park Jn – Hove Jn	49	21	50	44	N	Y	N	N	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0935	SO500	VTB3	Preston Park Jn – Brighton	49	43	50	49	N	Y	N	N	Y	N	N	N	R1	Y	N	R1 Prohibited Brighton platform 8
Kent-Sussex-Wessex	0935	SO510	LBW	London Bridge platforms 10-15 – Bricklayers Arms Jn	0	00	2	12	N	Y	N	N	Y	N	N	N	Y	Y	E R1 R2	R1 OPPOS London Bridge between 9 REV lines and 10 REV lines 00m 16ch to 00m 30ch R2 OPPOS London Bridge between 10 REV lines and 11 REV lines 00m 16ch to 01m 00ch
Kent-Sussex-Wessex	0935	SO510	LBW	Bricklayers Arms Jn – New Cross Gate Up Jn	2	12	2	60	N	Y	N	N	Y	N	N	N	Y	Y	E	
Kent-Sussex-Wessex	0935	SO510	ELL1	New Cross Gate Up Jn – Network Rail Boundary / Up ELL	5	51	5	49	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0935	SO510	LBW	New Cross Gate Up Jn – New Cross Gate Down Jn	2	60	3	10	N	Y	N	N	Y	N	N	N	Y	Y	E	
Kent-Sussex-Wessex	0935	SO510	ELL1	New Cross Gate Down Jn – Network Rail Boundary / Down ELL	6	02	5	79	N	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0935	SO510	LBW	New Cross Gate Down Jn – Sydenham Down Jn	3	10	6	51	N	Y	N	N	Y	N	N	N	Y	Y	E R1 R2	R1 OPPOS between Up Fast line and Down Fast line 04m 74ch to 05m 14ch R2 OPPOS Forest Hill Station between Down Fast line and Down Slow line 05m 40ch to 05m 60ch R3 OPPOS between Up Fast line and Down Fast line 05m 74ch to 06m 24ch OPPOS Sydenham Station – Sydenham Up Jn between Up Fast line and Down Fast line 06m 35ch to 06m 50ch
Kent-Sussex-Wessex	0935	SO510	LBW	Sydenham Down Jn – Norwood Jn	6	51	8	55	N	Y	N	N	Y	N	N	N	Y	Y	E	
Kent-Sussex-Wessex	0935	SO510	LBW	Norwood Jn – Norwood Fork Jn	8	55	9	33	N	Y	N	N	Y	N	N	N	Y	Y	E	
Kent-Sussex-Wessex	0935	SO510	LBW	Norwood Fork Jn – Cottage Jn / Windmill Bridge Jn	9	33	9	64	N	Y	N	N	Y	N	N	N	Y	Y	E	
Kent-Sussex-Wessex	0935	SO510	NFE	Norwood Fork Jn – Sutton	9	33	14	75	N	N	N	N	Y	N	N	N	Y	Y	N	
Kent-Sussex-Wessex	0935	SO510	NFE	Sutton – Epsom Downs	14	75	18	60	N	N	N	N	Y	N	N	N	Y	N	N	
Kent-Sussex-Wessex	0935	SO520	TBH1	Three Bridges – Crawley	29	21	30	49	N	N	N	N	Y	N	N	N	Y	Y	N	
