Kent-Sussex-Wessex	0900	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6
Kent-Sussex-Wessex	0900	SO510	LBW	New Cross Gate Down Jn	Sydenham Down Jn	New Cross Gate Down Jn – Sydenham Down Jn	3	10	6	51	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO510	LBW	Sydenham Down Jn	Norwood Jn	Sydenham Down Jn – Norwood Jn	6	51	8	55	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO510	LBW	Norwood Jn	Norwood Fork Jn	Norwood Jn – Norwood Fork Jn	8	55	9	33	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO510	LBW	Norwood Fork Jn	Cottage Jn / Windmill Bridge Jn	Norwood Fork Jn – Cottage Jn / Windmill Bridge Jn	9	33	9	64	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO510	NFE	Norwood Fork Jn	Sutton	Norwood Fork Jn – Sutton	9	33	14	75	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO510	NFE	Sutton	Epsom Downs	Sutton – Epsom Downs	14	75	18	60	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH1	Three Bridges	Crawley	Three Bridges – Crawley	29	21	30	49	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH1	Crawley	Horsham Jn	Crawley – Horsham Jn	30	49	37	39	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH1	Horsham Jn	Horsham	Horsham Jn – Horsham	37	39	37	56	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH1	Horsham	Billingshurst	Horsham – Billingshurst	37	56	44	71	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH1	Billingshurst	Arundel Jn	Billingshurst – Arundel Jn	44	71	59	75	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH2	Arundel Jn	Barnham	Arundel Jn – Barnham	19	01	22	29	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH2	Barnham	Route Boundary (SW110) (Havant Jn)	Barnham – Route Boundary (SW110) (Havant Jn)	22	29	35	35	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	TBH2	Route Boundary Sussex (Barnham)	Havant Jn [Duplicated on SW110]	Route Boundary Sussex (Barnham) – Havant Jn [Duplicated on SW110]	35	35	37	24	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	WPH2	Havant Jn	Farlington Jn [Duplicated on SW110]	Havant Jn – Farlington Jn [Duplicated on SW110]	37	24	40	33	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	WPH2	Farlington Jn	Portcreek Jn [Duplicated on SW110]	Farlington Jn – Portcreek Jn [Duplicated on SW110]	40	33	41	03	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	WPH2	Portcreek Jn	Blackfriars Jn [Duplicated on SW110]	Portcreek Jn – Blackfriars Jn [Duplicated on SW110]	41	03	44	50	8	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	WPH2	Blackfriars Jn	Portsmouth and Southsea High Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SW110]	44	26	44	50	7	Y	Y	Y	Y	Y	Y	Y
Kent-Sussex-Wessex	0900	SO520	PAS	Blackfriars Jn	Portsmouth and Southsea Low Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea Low Level [Duplicated on SW110]	44	26	44	50	8	Y	Y	Y	Y	Y	Y	Y
