Kent-Sussex-Wessex	0904	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0904	SO280	BMJ	Blackfriars Jn	Metropolitan Jn	Blackfriars Jn – Metropolitan Jn	0	63	1	14	8	Y	Y	Y	Y	Y	Y	R1	R1 Route prohibited to Class 37 locomotives fitted with roof mounted horns
Kent-Sussex-Wessex	0904	SO280	HHH	Blackfriars Jn	Loughborough Jn	Blackfriars Jn – Loughborough Jn	0	63	3	36	8	Y	Y	Y	Y	Y	Y	R1	R1 Route prohibited to Class 37 locomotives fitted with roof mounted horns
Kent-Sussex-Wessex	0904	SO280	LTC	Loughborough Jn	Cambria Jn	Loughborough Jn – Cambria Jn	3	34	3	62	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO280	LOC	Loughborough Jn	Canterbury Road Jn	Loughborough Jn – Canterbury Road Jn	3	39	3	79	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO280	HHH	Loughborough Jn	Herne Hill North Jn	Loughborough Jn – Herne Hill North Jn	3	36	4	30	8	Y	Y	Y	Y	Y	Y	R1	R1 Route prohibited to Class 37 locomotives fitted with roof mounted horns
Kent-Sussex-Wessex	0904	SO290	NKL	North Kent East Jn (SO130)	CharltonJn	North Kent East Jn (SO130) – CharltonJn	4	25	7	35	6	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO290	NKL	Charlton Jn	Charlton	Charlton Jn – Charlton	7	35	7	44	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO290	NKL	Charlton	Slade Green Jn	Charlton – Slade Green Jn	7	44	15	36	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO290	NKL	Slade Green Jn	Crayford Creek Jn	Slade Green Jn – Crayford Creek Jn	15	36	15	66	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO290	NKL	Crayford Creek Jn	Crayford Spur ‘A’ Jn	Crayford Creek Jn – Crayford Spur ‘A’ Jn	15	66	16	42	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO290	NKL	Crayford Spur ‘A’ Jn	Dartford Jn	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO300	BEX	Lewisham Jn	Blackheath Jn	Lewisham Jn – Blackheath Jn	5	74	7	14	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO300	BTC	Blackheath Jn	Charlton Jn	Blackheath Jn –Charlton Jn	7	14	8	67	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO300	BEX	Blackheath Jn	Perry Street Fork Jn	Blackheath Jn – Perry Street Fork Jn	7	14	15	07	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO300	PSF	Perry Street Fork Jn	Slade Green Jn	Perry Street Fork Jn – Slade Green Jn	15	07	15	31	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO300	BEX	Perry Street Fork Jn	Crayford Creek Jn	Perry Street Fork Jn – Crayford Creek Jn	15	07	15	66	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	HDR	Hither Green Jn (SO290)	Lee Loop Jn	Hither Green Jn (SO290) – Lee Loop Jn	7	16	7	29	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	LEE	Lee Loop Jn	Lee Spur Jn	Lee Loop Jn –Lee Spur Jn	0	00	0	29	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	HDR	Lee Loop Jn	Lee	Lee Loop Jn –Lee	7	29	7	66	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	HDR	Lee	Crayford Spur ‘B’ Jcn	Lee – Crayford Spur ‘B’ Jcn	7	66	16	11	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	CRA	Crayford Spur ‘B’ Jn	Crayford Spur ‘A’ Jn	Crayford Spur ‘B’ Jn – Crayford Spur ‘A’ Jn	16	11	16	43	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	HDR	Crayford Spur ‘B’ Jcn	Dartford Jn	Crayford Spur ‘B’ Jcn – Dartford Jn	16	11	16	75	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0904	SO310	HDR	Dartford Jn	Hoo Jn	Dartford Jn –Hoo Jn	16	75	27	19	8	Y	Y	Y	Y	Y	Y	Y	
