Kent-Sussex-Wessex	0981	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	0981	SO520	WPH2	Havant Jn	Farlington Jn [Duplicated on SW110]	Havant Jn – Farlington Jn [Duplicated on SW110]	37	24	40	33	8	Y	
Kent-Sussex-Wessex	0981	SO520	WPH2	Farlington Jn	Portcreek Jn [Duplicated on SW110]	Farlington Jn – Portcreek Jn [Duplicated on SW110]	40	33	41	03	8	Y	
Kent-Sussex-Wessex	0981	SO520	WPH2	Portcreek Jn	Blackfriars Jn [Duplicated on SW110]	Portcreek Jn – Blackfriars Jn [Duplicated on SW110]	41	03	44	50	8	R1	R1 Prohibited between Fratton and Blackfriars Jn on the Up and Down Fratton line
Kent-Sussex-Wessex	0981	SO520	WPH2	Blackfriars Jn	Portsmouth and Southsea High Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SW110]	44	26	44	50	7	Y	
Kent-Sussex-Wessex	0981	SO520	PAS	Blackfriars Jn	Portsmouth and Southsea Low Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea Low Level [Duplicated on SW110]	44	26	44	50	8	Y	
Kent-Sussex-Wessex	0981	SO520	WPH2	Portsmouth and Southsea High Level	Portsmouth Harbour *Platforms 4 and 5 RA7 *Platforms 1 and 3 RA4 [Duplicated onSW110]	Portsmouth and Southsea High Level – Portsmouth Harbour *Platforms 4 and 5 RA7 *Platforms 1 and 3 RA4 [Duplicated onSW110]	44	50	45	36	7*	R1	R1 Prohibited on the Down line
Kent-Sussex-Wessex	0981	SO530	SCU1	South Croydon Jn (SO600)	Sanderstead	South Croydon Jn (SO600) – Sanderstead	11	29	12	23	8	Y	
Kent-Sussex-Wessex	0981	SO530	SCU1	Sanderstead	Hurst Green Jn	Sanderstead – Hurst Green Jn	12	23	21	35	4	R1	R1 Prohibited between Woldingham and Oxted on the Down East Grinstead line
Kent-Sussex-Wessex	0981	SO530	HGG1	Hurst Green Jn	End of Line beyond East Grinstead	Hurst Green Jn – End of Line beyond East Grinstead	21	35	30	12	6	Y	
Kent-Sussex-Wessex	0981	SO540	SCU1	Hurst Green Jn	Uckfield	Hurst Green Jn – Uckfield	21	35	46	08	4	R1	R1 ProhibitedEridge platform 1 (Uckfield Single line)
Kent-Sussex-Wessex	0981	SO550	RTT	Redhill (SO500)	Tonbridge	Redhill (SO500) – Tonbridge	22	40	42	16	8	Y	
Kent-Sussex-Wessex	0981	SO560	RSJ	Redhill	Reigate	Redhill – Reigate	22	40	24	27	8	Y	
Kent-Sussex-Wessex	0981	SO560	RSJ	Reigate	Route Boundary (SW300) (Shalford Jn)	Reigate – Route Boundary (SW300) (Shalford Jn)	24	27	33	10	8	Y	
Kent-Sussex-Wessex	0981	SO590	KJE1	Keymer Jn	Lewes	Keymer Jn – Lewes	40	69	49	74	8	Y	
Kent-Sussex-Wessex	0981	SO590	KJE1/2	Lewes	Southerham Jn (Duplicated on SO620)	Lewes – Southerham Jn (Duplicated on SO620)	49	74	51	11	8	Y	
Kent-Sussex-Wessex	0981	SO590	KJE3	Southerham Jn	Willingdon Jn	Southerham Jn – Willingdon Jn	9	14	21	39	8	Y	
Kent-Sussex-Wessex	0981	SO590	KJE3	Willingdon Jn	Eastbourne	Willingdon Jn – Eastbourne	21	39	23	75	8	R1	R1 Prohibited Eastbourne platform 2 (Up Main line)
Kent-Sussex-Wessex	0981	SO600	WJB	Willingdon Jn – Connection	St Leonards LMD	Willingdon Jn – Connection – St Leonards LMD	20	36	32	21	8	R1	R1 Prohibited between Bexhill and Connection – St Leonards LMD on the Down Bexhill line
Kent-Sussex-Wessex	0981	SO600	WJB	Connection – St Leonards LMD	Bo Peep Jn	Connection – St Leonards LMD – Bo Peep Jn	32	21	32	76	8	R1	R1 Prohibited on the Down Bexhill line
Kent-Sussex-Wessex	0981	SO600	TTH	Bo Peep Jn	Hastings	Bo Peep Jn – Hastings	60	69	62	33	8	R1	R1 Prohibited between St Leonards Warrior Square and Hastings on the Up Hastings line
