Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0961	SO250	WLL	Latchmere Jn No.2 – Kensington Olympia [Duplicated in SW220]	0	71	3	42	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO250	WLL	Kensington Olympia – Northbound AC/DC changeover	3	42	5	16	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO250	WLL	Northbound AC/DC changeover – Southbound AC/DC changeover	5	16	5	43	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO250	WLL	Southbound AC/DC changeover – Route Boundary (MD166) (Mitre Bridge Jn)	5	43	5	65	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO260	CAT	Brixton Jn – Canterbury Road Jn	3	08	3	24	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO260	CAT	Canterbury Road Jn – Cambria Jn	3	24	3	68	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO260	CAT	Cambria Jn – Nunhead Jn	3	68	6	09	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO260	CAT	Nunhead Jn – Ravensbourne Jn	6	09	10	44	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO260	RVC	Ravensbourne Jn – Shortlands Jn via Ravensbourne Chord	0	00	0	48	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO260	CAT	Ravensbourne Jn – Shortlands Jn	10	44	10	73	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0961	SO280	MCL	Route Boundary (LN3213) (Kentish Town Jn) – ELR change (Former Farringdon Jn)	0	66	0	00	4	N	N	N	R1 R2 R3	R1 R2 R3	R1 R2 R3 R4	N	R1 15mph through Farringdon R2 OHLE must be isolated R3 Locomotives must not stand under insulators positioned directly above the track as the exhaust can damage the Overhead Line Equipment R4 Route prohibited to Class 33/0 and 33/1
Kent-Sussex-Wessex	0961	SO280	FTL	ELR change (Former Farringdon Jn) – Snow Hill Tunnel (Change of Mileage)	0	00	0	39	4	N	N	N	R1 R2	R1 R2	R1 R2	N	R1 OHLE must be isolated R2 Locomotives must not stand under insulators positioned directly above the track as the exhaust can damage the Overhead Line Equipment
Kent-Sussex-Wessex	0961	SO280	HHH	Snow Hill Tunnel (Change of Mileage) – Blackfriars	0	21	0	35	8	Y	Y	Y	Y	Y	Y	R1	R1 Route prohibited to Class 37 locomotives fitted with roof mounted horns
Kent-Sussex-Wessex	0961	SO280	HHH	Blackfriars – Blackfriars Jn	0	35	0	63	8	Y	Y	Y	Y	Y	Y	R1	R1 Route prohibited to Class 37 locomotives fitted with roof mounted horns
