Kent-Sussex-Wessex	1074	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	1074	SO280	HHH	Blackfriars	Blackfriars Jn	Blackfriars – Blackfriars Jn	0	35	0	63	8	Y	
Kent-Sussex-Wessex	1074	SO280	BMJ	Blackfriars Jn	Metropolitan Jn	Blackfriars Jn – Metropolitan Jn	0	63	1	14	8	Y	
Kent-Sussex-Wessex	1074	SO280	HHH	Blackfriars Jn	Loughborough Jn	Blackfriars Jn – Loughborough Jn	0	63	3	36	8	Y	
Kent-Sussex-Wessex	1074	SO280	LTC	Loughborough Jn	Cambria Jn	Loughborough Jn – Cambria Jn	3	34	3	62	8	Y	
Kent-Sussex-Wessex	1074	SO280	LOC	Loughborough Jn	Canterbury Road Jn	Loughborough Jn – Canterbury Road Jn	3	39	3	79	8	Y	
Kent-Sussex-Wessex	1074	SO280	HHH	Loughborough Jn	Herne Hill North Jn	Loughborough Jn – Herne Hill North Jn	3	36	4	30	8	R1	R2 Prohibited on the Up Holborn line
Kent-Sussex-Wessex	1074	SO290	NKL	North Kent East Jn (SO130)	Charlton Jn	North Kent East Jn (SO130) – Charlton Jn	4	25	7	35	6	N	
Kent-Sussex-Wessex	1074	SO290	NKL	Charlton Jn	Charlton	Charlton Jn – Charlton	7	35	7	44	8	N	
Kent-Sussex-Wessex	1074	SO290	NKL	Charlton	Slade Green Jn	Charlton – Slade Green Jn	7	44	15	36	8	R1 R2	R3 Prohibited between Charlton and Plumstead on the Down North Kent line R4 Prohibited between Charlton and Plumstead on the Up North Kent line
Kent-Sussex-Wessex	1074	SO290	NKL	Slade Green Jn	Crayford Creek Jn	Slade Green Jn – Crayford Creek Jn	15	36	15	66	8	Y	
Kent-Sussex-Wessex	1074	SO290	NKL	Crayford Creek Jn	Crayford Spur ‘A’ Jn	Crayford Creek Jn – Crayford Spur ‘A’ Jn	15	66	16	42	8	Y	
Kent-Sussex-Wessex	1074	SO290	NKL	Crayford Spur ‘A’ Jn	Dartford Jn	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	8	Y	
Kent-Sussex-Wessex	1074	SO300	BEX	Lewisham Jn	Blackheath Jn	Lewisham Jn – Blackheath Jn	5	74	7	14	8	Y	
Kent-Sussex-Wessex	1074	SO300	BTC	Blackheath Jn	Charlton Jn	Blackheath Jn – Charlton Jn	7	14	8	67	8	R1 R2	R3 Prohibited between Blackheath Jn and Angerstein Jn on the Down North Kent line R4 Prohibited between Blackheath Jn and Angerstein Jn on the Up North Kent line
Kent-Sussex-Wessex	1074	SO300	BEX	Blackheath Jn	Perry Street Fork Jn	Blackheath Jn – Perry Street Fork Jn	7	14	15	07	8	R1 R2	R3 Prohibited between Falconwood and Welling on the Down Bexleyheath line R4 Prohibited between Bexleyheath and Barnhurst on the Up Bexleyheath line
Kent-Sussex-Wessex	1074	SO300	PSF	Perry Street Fork Jn	Slade Green Jn	Perry Street Fork Jn – Slade Green Jn	15	07	15	31	8	Y	
Kent-Sussex-Wessex	1074	SO300	BEX	Perry Street Fork Jn	Crayford Creek Jn	Perry Street Fork Jn – Crayford Creek Jn	15	07	15	66	8	Y	
Kent-Sussex-Wessex	1074	SO310	HDR	Hither Green Jn (SO290)	Lee Loop Jn	Hither Green Jn (SO290) – Lee Loop Jn	7	16	7	29	8	Y	
Kent-Sussex-Wessex	1074	SO310	LEE	Lee Loop Jn	Lee Spur Jn	Lee Loop Jn – Lee Spur Jn	0	00	0	29	8	Y	
