Kent-Sussex-Wessex	0857	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	313	319	325	373	375	376	377	378	380	387	Notes
Kent-Sussex-Wessex	0857	SO110	VIR	Shortlands Jn	Bickley Jn	Shortlands Jn –Bickley Jn	9	57	12	38	N	Y	Y	N	Y	Y	Y	N	EH	Y	
Kent-Sussex-Wessex	0857	SO110	TLP1	Bickley Jn	Petts Wood (Fast Tonbridge Loop)	Bickley Jn – Petts Wood (Fast Tonbridge Loop)	12	38	13	29	N	Y	Y	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO110	TLP2	Bickley Jn	Petts Wood (Slow Tonbridge Loop)	Bickley Jn – Petts Wood (Slow Tonbridge Loop)	12	49	13	35	N	Y	Y	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO110	CSM3	Hawkwood Jn (Up Chatham Loop)	St Mary Cray Jn	Hawkwood Jn (Up Chatham Loop) – St Mary Cray Jn	11	66	12	30	N	Y	H	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	Bickley Jn	St Mary Cray Down Jn	Bickley Jn –St Mary Cray Down Jn	12	38	12	79	N	Y	Y	N	Y	Y	Y	N	EH	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	St Mary Cray Down Jn	St Mary Cray Up Jn	St Mary Cray Down Jn – St Mary Cray Up Jn	12	79	13	17	N	Y	Y	N	Y	Y	Y	N	EH	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	St Mary Cray Up Jn	Swanley Jn	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	N	Y	Y	N	Y	Y	Y	N	EH	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	Swanley Jn	Fawkham Jn	Swanley Jn –Fawkham Jn	17	46	22	49	N	N	N	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	Fawkham Jn	CTRL	Fawkham Jn –CTRL	22	49	0	00	N	N	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0857	SO110	VIR	Fawkham Jn	Rochester Bridge Jn	Fawkham Jn –Rochester Bridge Jn	22	49	33	01	N	N	N	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	Rochester Bridge Jn	Gillingham	Rochester Bridge Jn – Gillingham	33	01	35	75	N	N	N	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO110	VIR	Gillingham	Western Jn	Gillingham – Western Jn	35	75	43	70	N	N	N	N	Y	Y	R1 R2	N	N	R3	R1 Prohibited between Gillingham SB and Western Jn R2 Class 377/1 and 377/5 only Gillingham SB – Western Jn R3 Prohibited between Chatham Dockyard Jn and Western Jn
Kent-Sussex-Wessex	0857	SO110	VIR	Western Jn	Eastern Jn	Western Jn –Eastern Jn	43	70	44	18	N	N	N	N	Y	Y	R1	N	N	N	R1 Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0857	SO110	VIR	EasternJn	Faversham Jn	EasternJn –Faversham Jn	44	18	52	13	N	N	N	N	Y	Y	R1	N	N	N	R1 Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0857	SO110	VIR	FavershamJn	Ramsgate Station	FavershamJn –Ramsgate Station	52	13	79	21	N	N	N	N	Y	Y	R1	N	N	N	R1 Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0857	SO110	ACR	Ramsgate Station	Ramsgate Substation	Ramsgate Station – Ramsgate Substation	85	67	85	22	N	N	N	N	Y	Y	R1	N	N	N	R1 Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0857	SO130	XTD	Charing Cross	Metropolitan Jn	Charing Cross –Metropolitan Jn	0	00	1	31	N	Y	H	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO130	CBM	Cannon Street	Cannon Street Substation	Cannon Street – Cannon Street Substation	0	00	0	20	N	N	N	N	Y	Y	R1	N	N	N	R1 Class 377/1 and 377/5 only
Kent-Sussex-Wessex	0857	SO130	CSW	Cannon Street Sub Station	Metropolitan Jn (via Metropolitan Reversible line)	Cannon Street Sub Station – Metropolitan Jn (via Metropolitan Reversible line)	1	53	1	33	N	Y	N	N	Y	Y	R1 R2	N	N	N	R1 Class 377/1 and 377/5 only R2 Prohibited between Cannon Street Sub Station and 1m46ch
Kent-Sussex-Wessex	0857	SO130	XTD	Metropolitan Jn	Borough Market Jn	Metropolitan Jn – Borough Market Jn	1	31	1	50	N	Y	H	N	Y	Y	Y	N	N	Y	
Kent-Sussex-Wessex	0857	SO130	CBM	Cannon Street Substation	Borough Market Jn	Cannon Street Substation – Borough Market Jn	0	20	0	38	N	N	N	N	Y	Y	R1	N	N	N	R1 Class 377/1 and 377/5 only
