Kent-Sussex-Wessex	1008	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	313	319	325	377	378	380	387	Notes
Kent-Sussex-Wessex	1008	SW140	SDP2	Change of ELR	Fareham	Change of ELR – Fareham	84	10	84	21	Y	Y	H	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1008	SW140	SDP2	Fareham	Quay Viaduct	Fareham – Quay Viaduct	84	21	84	77	Y	Y	H	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1008	SW140	SDP2	Quay Viaduct	Cosham	Quay Viaduct – Cosham	84	77	90	06	Y	Y	H	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1008	SW140	SDP2	Cosham	Cosham Jn	Cosham – Cosham Jn	90	06	90	43	N	Y	H	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1008	SW140	SDP2	Cosham Jn	Portcreek Jn	Cosham Jn – Portcreek Jn	90	43	91	01	N	N	N	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1008	SW140	FJJ	Cosham Jn	Farlington Jn	Cosham Jn – Farlington Jn	90	43	91	14	N	N	N	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1008	SW145	SOY	Northam Jn	Canute Road LC (AOCL) (Eastern Docks)	Northam Jn – Canute Road LC (AOCL) (Eastern Docks)	78	15	79	02	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW150	RTJ1	Redbridge Jn	Romsey Jn	Redbridge Jn –Romsey Jn	23	32	18	16	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW150	RTJ2	Romsey Jn	Salisbury Tunnel Jn	Romsey Jn –Salisbury Tunnel Jn	80	35	96	05	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW155	TTF	Totton	Marchwood	Totton – Marchwood	82	43	86	10	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW155	TTF	Marchwood	Fawley GF	Marchwood –Fawley GF	86	10	91	42	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW160	BLP	Brockenhurst	Lymington Pier	Brockenhurst – Lymington Pier	92	66	98	15	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW165	HAG	Hamworthy	Hamworthy Goods (Stop board)	Hamworthy – Hamworthy Goods (Stop board)	115	77	118	05	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW170	SAL	Wilton Jn	Route Boundary Western (GW5001) (Westbury South Jn)	Wilton Jn – Route Boundary Western (GW5001) (Westbury South Jn)	132	33	115	40	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW175	WEY	Route Boundary (GW500) (Castle Cary Jn)	Yeovil Pen Mill Jn	Route Boundary (GW500) (Castle Cary Jn) –Yeovil Pen Mill Jn	130	00	141	35	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW175	YJP	Yeovil Pen Mill Jn	Yeovil Jn	Yeovil Pen Mill Jn – Yeovil Jn	1	42	0	00	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1008	SW180	RPE	Raynes Park	Epsom (Change of ELR)	Raynes Park – Epsom (Change of ELR)	8	51	14	18	N	Y	H	N	N	N	N	
Kent-Sussex-Wessex	1008	SW180	BTH2	Route Boundary Sussex (Ewell East)	Epsom [Duplicated in SO680]	Route Boundary Sussex (Ewell East) – Epsom [Duplicated in SO680]	17	33	18	73	N	Y	H	Y	N	N	Y	
Kent-Sussex-Wessex	1008	SW180	BTH3	Epsom (Change of ELR)	Leatherhead [Duplicated in SO680]	Epsom (Change of ELR) – Leatherhead [Duplicated in SO680]	14	27	18	02	N	Y	H	Y	N	N	Y	
