Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Kent-Sussex-Wessex	1084	SW230	BOK5	Old Kew Jn – Route Boundary (EA1330) (Kew East Jn)	3	69	3	61	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW230	HOU	Old Kew Jn – Hounslow Jn	10	01	14	09	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW230	HJW	Hounslow Jn – Whitton Jn	14	09	14	39	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW230	HOU	Hounslow Jn – Feltham Jn	14	09	14	38	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW245	TSJ	Jn (Twickenham) – Strawberry Hill Jn	11	48	12	27	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW245	SHF	Strawberry Hill Jn – Fulwell Jn	12	27	12	56	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW245	TSJ	Strawberry Hill Jn – Shacklegate Jn	12	27	12	58	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW250	SWE	Staines – Windsor and Eton Riverside	19	02	25	48	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW255	VWW	Virginia Water Jn – Addlestone Jn	24	73	19	74	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW255	AJB	Addlestone Jn – Byfleet Jn	0	00	0	67	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW255	VWW	Addlestone Jn – Weybridge	19	74	19	12	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW260	AAV	Ascot – Ash Vale Jn	28	79	40	57	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1084	SW265	GTW1	Guilford – Change of ELR	30	27	35	50	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW265	GTW2	Change of ELR – Aldershot South Jn	48	34	50	01	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW265	NSA	Aldershot South Jn – Aldershot North Jn	50	01	50	43	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1084	SW265	GTW2	Aldershot South Jn – Wokingham Jn	50	01	61	74	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1084	SW300	RSJ	Route Boundary (Sussex SO560) (Redhill) – Shalford Jn	33	10	41	62	Y	Y	Y	N	N	N	N	
