Kent-Sussex-Wessex	0865	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	 Ch	 M	 Ch	395	442	444	450	455	456	458	465	466	508	700	Notes
Kent-Sussex-Wessex	0865	SO130	XTD	Tanners Hill Jn	Parks Bridge Jn	Tanners Hill Jn – Parks Bridge Jn	5	29	6	14	N	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0865	SO130	LLL	Parks Bridge Jn	Ladywell Jn	Parks Bridge Jn – Ladywell Jn	6	14	6	29	N	N	N	N	N	N	N	Y	Y	N	Y	
Kent-Sussex-Wessex	0865	SO130	XTD	Parks Bridge Jn	Courthill Loop South Jn	Parks Bridge Jn – Courthill Loop South Jn	6	14	6	21	N	N	N	N	E R1	E R1	N	Y	Y	Y	Y	R1 60mph maximum speed
Kent-Sussex-Wessex	0865	SO130	XTD	Courthill Loop South Jn	Hither Green Jn	Courthill Loop South Jn – Hither Green Jn	6	21	7	04	Y	N	N	N	E R1	E R1	N	Y	Y	Y	Y	R1 60mph maximum speed
Kent-Sussex-Wessex	0865	SO130	XTD	Hither Green Jn	Lee Spur Jn	Hither Green Jn – Lee Spur Jn	7	04	7	44	Y	N	N	N	E R1	E R1	N	Y	Y	Y	Y	R1 60mph maximum speed
Kent-Sussex-Wessex	0865	SO130	XTD	Lee Spur Jn	Chislehurst Jn	Lee Spur Jn – Chislehurst Jn	7	44	11	33	Y	N	N	N	E R1 R2 R3 R4	E R1 R2 R3 R4	N	Y	Y	Y	Y	R1 60mph maximum speed R2 Between London end of Grove Park Station (08m 55ch (Slows to Fasts Double Jn) and Chislehurst Jn use fast lines R3 25mph through Grove Park (Fast lines). R4 Access to Grove Park Up Sidings via 924/925 points
Kent-Sussex-Wessex	0865	SO130	CSM1	Chislehurst Jn	St Mary Cray Down Jn via Reversible Chatham Loop	Chislehurst Jn – St Mary Cray Down Jn via Reversible Chatham Loop	11	33	11	71	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0865	SO130	CSM3	Chislehurst Jn	Hawkwood Jn (Up Chatham Loop)	Chislehurst Jn – Hawkwood Jn (Up Chatham Loop)	11	33	11	66	Y	N	N	N	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0865	SO130	XTD	Chislehurst Jn	Petts Wood Jns	Chislehurst Jn – Petts Wood Jns	11	33	12	27	Y	N	N	N	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0865	SO130	XTD	Petts Wood Jns	Sevenoaks Substation	Petts Wood Jns – Sevenoaks Substation	12	27	21	74	Y	N	N	N	R1 R2 R3	R1 R2 R3	N	Y	Y	Y	Y	R1 60mph Chelsfield Down platform R2 15mph Knockholt Down and Up platforms R3 15mph Dunton Green Down and Up platforms
Kent-Sussex-Wessex	0865	SO130	XTD	Sevenoaks Substation	Tonbridge West Jn	Sevenoaks Substation – Tonbridge West Jn	21	74	29	35	Y	N	N	N	E R1	E R1	N	Y	Y	Y	Y	R1 75mph maximum speed
Kent-Sussex-Wessex	0865	SO130	XTD	Tonbridge West Jn	Tonbridge East Jn	Tonbridge West Jn – Tonbridge East Jn	29	35	29	55	R1	E	N	N	E R1 R2	E R1 R2	N	Y	Y	Y	Y	R1 Prohibited Tonbridge platform 4 R2 75mph maximum speed
Kent-Sussex-Wessex	0865	SO130	XTD	Tonbridge East Jn	Paddock Wood	Tonbridge East Jn – Paddock Wood	29	55	34	67	R1	E	N	N	E R2	E R2	N	Y	Y	Y	Y	R1 Prohibited Paddock Wood platform 3 R2 75mph maximum speed
