Kent-Sussex-Wessex	0989	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	121	150	153	156	158	159	165	Notes
Kent-Sussex-Wessex	0989	SW100	BML1	West London Jn	Ludgate Jn (Main lines)	West London Jn – Ludgate Jn (Main lines)	3	17	3	57	Y	Y	N	N	Y	Y	N	
Kent-Sussex-Wessex	0989	SW100	FLL2/3	Route Boundary (Sussex SO250) (Longhedge Jn)	Ludgate Jn	Route Boundary (Sussex SO250) (Longhedge Jn) – Ludgate Jn	1	77	3	57	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	0989	SW100	CJL	Ludgate Jn	Route Boundary (Sussex SO250) (Latchmere Jn No.2)	Ludgate Jn – Route Boundary (Sussex SO250) (Latchmere Jn No.2)	0	30	0	47	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0989	SW100	RDG1	Ludgate Jn	Clapham Jn (Windsor lines)	Ludgate Jn – Clapham Jn (Windsor lines)	3	57	3	74	Y	R1	N	N	Y	Y	N	R1 Prohibited Clapham platforms 2, 3, 4, 5 and 6
Kent-Sussex-Wessex	0989	SW100	BML1	Ludgate Jn	Clapham Jn (Main lines)	Ludgate Jn – Clapham Jn (Main lines)	3	57	3	74	Y	Y	N	N	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	BML1	Clapham Jn	Wimbledon platforms 5, 6, 7 and 8	Clapham Jn – Wimbledon platforms 5, 6, 7 and 8	3	74	7	19	Y	Y	N	N	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	PPW	Wimbledon North Jn	Wimbledon platforms 1, 2, 3 and 4 (District line)	Wimbledon North Jn – Wimbledon platforms 1, 2, 3 and 4 (District line)	8	26	8	47	R1	R1	N	N	R1	R1	N	R1 Prohibited Wimbledon platforms 1, 2, and 3
Kent-Sussex-Wessex	0989	SW105	BML1	Wimbledon platforms 5, 6, 7 and 8	Wimbledon West Jn	Wimbledon platforms 5, 6, 7 and 8 – Wimbledon West Jn	7	19	7	49	Y	Y	N	N	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	BML1	Wimbledon West Jn	Hampton Court Jn	Wimbledon West Jn – Hampton Court Jn	7	49	13	27	Y	Y	N	N	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	BML1	Hampton Court Jn	Woking	Hampton Court Jn – Woking	13	27	24	27	Y	Y	N	N	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	BML1	Woking	Basingstoke	Woking – Basingstoke	24	27	47	61	Y	Y	N	N	Y	Y	R1 R2 R3 R4 R5	R1 20mph over bridge 85 (24m 40ch) (Up Fast) (between Woking and Brookwood) R2 40mph over bridge 107b (34m 10ch) (Up Slow) (between Fleet and Farnborough) R3 40mph Winchfield Up Slow platform R4 30mph Brookwood Up Slow platform R5 50mph Winchfield Down Slow platform
Kent-Sussex-Wessex	0989	SW105	BML1	Basingstoke	Eastleigh West Jn	Basingstoke – Eastleigh West Jn	47	61	73	42	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	BML1	Eastleigh West Jn	St Denys	Eastleigh West Jn – St Denys	73	42	77	10	Y	Y	N	Y	Y	Y	N	
Kent-Sussex-Wessex	0989	SW105	BML1	St Denys	Northam Jn	St Denys – Northam Jn	77	10	78	15	Y	Y	N	Y	Y	Y	N	
