Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	442	444	450	456	458	508	700	707	Notes
Kent-Sussex-Wessex	1076	SW230	HOU	New Kew Jn – Old Kew Jn	9	34	10	01	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW230	BOK5	Old Kew Jn – Route Boundary (EA1330) (Kew East Jn)	3	69	3	61	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1076	SW230	HOU	Old Kew Jn – Hounslow Jn	10	01	14	09	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW230	HJW	Hounslow Jn – Whitton Jn	14	09	14	39	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW230	HOU	Hounslow Jn – Feltham Jn	14	09	14	38	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW245	TSJ	Jn (Twickenham) – Strawberry Hill Jn	11	48	12	27	Y	N	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW245	SHF	Strawberry Hill Jn – Fulwell Jn	12	27	12	56	Y	N	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW245	TSJ	Strawberry Hill Jn – Shacklegate Jn	12	27	12	58	Y	N	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW250	SWE	Staines – Windsor and Eton Riverside	19	02	25	48	Y	N	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW255	VWW	Virginia Water Jn – Addlestone Jn	24	73	19	74	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW255	AJB	Addlestone Jn – Byfleet Jn	0	00	0	67	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW255	VWW	Addlestone Jn – Weybridge	19	74	19	12	Y	Y	Y	Y	Y	Y	N	N	
Kent-Sussex-Wessex	1076	SW260	AAV	Ascot – Ash Vale Jn	28	79	40	57	N	N	Y	Y	Y	N	N	N	
Kent-Sussex-Wessex	1076	SW265	GTW1	Guilford – Change of ELR	30	27	35	50	N	Y	Y	R1	Y	N	N	N	R1 15mph Guildford platforms 6 & 7
Kent-Sussex-Wessex	1076	SW265	GTW2	Change of ELR – Aldershot South Jn	48	34	50	01	N	Y	Y	Y	Y	N	N	N	
Kent-Sussex-Wessex	1076	SW265	NSA	Aldershot South Jn – Aldershot North Jn	50	01	50	43	N	Y	Y	N	Y	N	N	N	
Kent-Sussex-Wessex	1076	SW265	GTW2	Aldershot South Jn – Wokingham Jn	50	01	61	74	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1076	SW300	RSJ	Route Boundary (Sussex SO560) (Redhill) – Shalford Jn	33	10	41	62	N	N	N	N	N	N	N	N	
