Kent-Sussex-Wessex	0975	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	0975	SO130	XTD	Ashford (Jn with Hastings line)	Ashford (Jn with Canterbury Line)	Ashford (Jn with Hastings line) – Ashford (Jn with Canterbury Line)	56	20	56	35	8	Y	
Kent-Sussex-Wessex	0975	SO130	XTD	Ashford (Jn with Canterbury Line)	Saltwood Jn	Ashford (Jn with Canterbury Line) – Saltwood Jn	56	35	66	38	8	Y	
Kent-Sussex-Wessex	0975	SO130	XTD	Saltwood Jn	Folkestone Central	Saltwood Jn –Folkestone Central	66	38	69	73	8	Y	
Kent-Sussex-Wessex	0975	SO130	XTD	Folkestone Central	Folkestone East Staff Halt	Folkestone Central – Folkestone East Staff Halt	69	73	70	73	4	Y	
Kent-Sussex-Wessex	0975	SO130	XTD	Folkestone East Staff Halt	Dover Substation	Folkestone East Staff Halt – Dover Substation	70	73	76	45	8	N	
Kent-Sussex-Wessex	0975	SO140	SBJ	Swanley Jn (SO110)	Otford Jn	Swanley Jn (SO110) – Otford Jn	17	46	24	53	8	Y	
Kent-Sussex-Wessex	0975	SO140	OJS	Otford Jn	Sevenoaks Jn	Otford Jn – Sevenoaks Jn	24	53	26	58	8	Y	
Kent-Sussex-Wessex	0975	SO140	SBJ	Otford Jn	Jn with Maidstone line	Otford Jn –Jn with Maidstone line	24	53	58	61	8	R1	R1 Prohibitedbetween Offord Jn and Kemsing on the Up Maidstone line
Kent-Sussex-Wessex	0975	SO150	WMS	Western Jn (SO110)	Middle Jn	Western Jn (SO110) – Middle Jn	43	70	44	13	8	Y	
Kent-Sussex-Wessex	0975	SO150	SEJ1	Eastern Jn (SO110)	Middle Jn	Eastern Jn (SO110) – Middle Jn	0	00	0	23	8	R1	R1 Prohibited on the Down Sheppey line
Kent-Sussex-Wessex	0975	SO150	SEJ2	Middle Jn	Sheerness on Sea	Middle Jn – Sheerness on Sea	44	13	51	19	8	Y	
Kent-Sussex-Wessex	0975	SO160	FDM	Faversham Jn(SO110)	Buckland Jn	Faversham Jn(SO110) – Buckland Jn	52	13	76	32	8	R1	R1 Prohibited between Faversham and Canterbury East on the Down lline
Kent-Sussex-Wessex	0975	SO160	FDM	Buckland Jn	Change of mileage	Buckland Jn –Change of mileage	76	32	77	76	8	N	
Kent-Sussex-Wessex	0975	SO160	FDM	Change of mileage	Dover Substation	Change of mileage – Dover Substation	76	53	76	45	8	N	
Kent-Sussex-Wessex	0975	SO170	TTH	Tonbridge East Jn (SO130)	Tunbridge Wells	Tonbridge East Jn (SO130) – Tunbridge Wells	29	55	34	32	8	Y	
Kent-Sussex-Wessex	0975	SO170	TTH	Tunbridge Wells	Bo Peep Jn	Tunbridge Wells – Bo Peep Jn	34	32	60	69	8	R1	R1 Prohibited between Mountfield Sidings and Battle on the Up Hastings line
Kent-Sussex-Wessex	0975	SO180	PWS1	Paddock Wood	Maidstone West Change of Mileage	Paddock Wood – Maidstone West Change of Mileage	34	67	44	56	8	Y	
Kent-Sussex-Wessex	0975	SO210	APL	Appedore (SO600)	Dungeness Ground Frame	Appedore (SO600) – Dungeness Ground Frame	64	50	73	65	6	R1	R1 Prohibited disused platform at the former Lydd Town station (71m 55ch) (Single line)
Kent-Sussex-Wessex	0975	SO220	ACR	Ashford (Jn with Canterbury line (SO130))	Hitachi Depot (Access)	Ashford (Jn with Canterbury line (SO130)) – Hitachi Depot (Access)	56	35	57	05	8	Y	
Kent-Sussex-Wessex	0975	SO220	ACR	Hitachi Depot (Access)	Minster West Jn	Hitachi Depot (Access) – Minster West Jn	57	05	81	69	8	R1 R2 R3	R1 Prohibited between Chilham and Chartham on the Down Branch line R2 Prohibited between Chilham and Chartham on the Up Branch line R3 Prohibited between Sturry and Chislet Colliery Substation on the Down Main line
Kent-Sussex-Wessex	0975	SO220	ACR	Minster West Jn	Minster East Jn	Minster West Jn – Minster East Jn	81	69	82	17	8	Y	
Kent-Sussex-Wessex	0975	SO220	ACR	Minster East Jn	Ramsgate Substation	Minster East Jn – Ramsgate Substation	82	17	85	22	8	Y	
