Kent-Sussex-Wessex	0866	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	313	319	325	373	375	376	377	378	380	387	Notes
Kent-Sussex-Wessex	0866	SO510	LBW	New Cross Gate Down Jn	Sydenham Down Jn	New Cross Gate Down Jn – Sydenham Down Jn	3	10	6	51	N	Y	H	N	Y	Y	Y	Y	N	Y	
Kent-Sussex-Wessex	0866	SO510	LBW	Sydenham Down Jn	Norwood Jn	Sydenham Down Jn – Norwood Jn	6	51	8	55	N	Y	H	N	Y	Y	Y	Y	N	Y	
Kent-Sussex-Wessex	0866	SO510	LBW	Norwood Jn	Norwood Fork Jn	Norwood Jn – Norwood Fork Jn	8	55	9	33	E	Y	H	N	Y	Y	Y	Y	N	Y	
Kent-Sussex-Wessex	0866	SO510	LBW	Norwood Fork Jn	Cottage Jn / Windmill Bridge Jn	Norwood Fork Jn – Cottage Jn / Windmill Bridge Jn	9	33	9	64	E	Y	H	N	Y	Y	Y	Y	N	Y	
Kent-Sussex-Wessex	0866	SO510	NFE	Norwood Fork Jn	Sutton	Norwood Fork Jn – Sutton	9	33	14	75	N	Y	H	N	N	N	Y	R1	N	Y	R1 Prohibited between West Croydon and Sutton except to enable the unit to return to West Croydon station from signal T1048 via the Down Wallington
Kent-Sussex-Wessex	0866	SO510	NFE	Sutton	Epsom Downs	Sutton – Epsom Downs	14	75	18	60	N	Y	H	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	TBH1	Three Bridges	Crawley	Three Bridges – Crawley	29	21	30	49	E	Y	H	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	TBH1	Crawley	Horsham Jn	Crawley – Horsham Jn	30	49	37	39	E	Y	H	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	TBH1	Horsham Jn	Horsham	Horsham Jn – Horsham	37	39	37	56	E	Y	H	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	TBH1	Horsham	Billingshurst	Horsham – Billingshurst	37	56	44	71	E	R1	H R1	N	N	N	Y	N	N	Y	R1 20mph Billingshurst platform 1
Kent-Sussex-Wessex	0866	SO520	TBH1	Billingshurst	Arundel Jn	Billingshurst – Arundel Jn	44	71	59	75	E R1	N	N	N	N	N	Y	N	N	Y	R1 20mph Pulborough platform 1 (Up Main)
Kent-Sussex-Wessex	0866	SO520	TBH2	Arundel Jn	Barnham	Arundel Jn – Barnham	19	01	22	29	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	TBH2	Barnham	Route Boundary (SW110) (Havant Jn)	Barnham – Route Boundary (SW110) (Havant Jn)	22	29	35	35	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	TBH2	Route Boundary Sussex (Barnham)	Havant Jn [Duplicated on SW110]	Route Boundary Sussex (Barnham) – Havant Jn [Duplicated on SW110]	35	35	37	24	Y	N	N	N	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	0866	SO520	WPH2	Havant Jn	Farlington Jn [Duplicated on SW110]	Havant Jn – Farlington Jn [Duplicated on SW110]	37	24	40	33	Y	N	N	N	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0866	SO520	WPH2	Farlington Jn	Portcreek Jn [Duplicated on SW110]	Farlington Jn – Portcreek Jn [Duplicated on SW110]	40	33	41	03	Y	N	N	N	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0866	SO520	WPH2	Portcreek Jn	Blackfriars Jn [Duplicated on SW110]	Portcreek Jn – Blackfriars Jn [Duplicated on SW110]	41	03	44	50	Y	N	N	N	N	N	Y	N	N	N	
Kent-Sussex-Wessex	0866	SO520	WPH2	Blackfriars Jn	Portsmouth and Southsea High Level [Duplicated on SW110]	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SW110]	44	26	44	50	Y	N	N	N	N	N	R1	N	N	N	R1 Classes 377/6 and 377/7 prohibited Portsmouth and Southsea Low Level Platforms
