Kent-Sussex-Wessex	0906	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 C h	 o M	 Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	Notes
Kent-Sussex-Wessex	0906	SO110	VIR	Bickley Jn	St Mary Cray Down Jn	Bickley Jn – St Mary Cray Down Jn	12	38	12	79	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	St Mary Cray Down Jn	St Mary Cray Up Jn	St Mary Cray Down Jn – St Mary Cray Up Jn	12	79	13	17	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	St Mary Cray Up Jn	Swanley Jn	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Swanley Jn	Fawkham Jn	Swanley Jn – Fawkham Jn	17	46	22	49	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Fawkham Jn	CTRL	Fawkham Jn – CTRL	22	49	0	00	8	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0906	SO110	VIR	Fawkham Jn	Rochester Bridge Jn	Fawkham Jn – Rochester Bridge Jn	22	49	33	01	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Rochester Bridge Jn	Gillingham	Rochester Bridge Jn – Gillingham	33	01	35	75	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Gillingham	Western Jn	Gillingham – Western Jn	35	75	43	70	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Western Jn	Eastern Jn	Western Jn – Eastern Jn	43	70	44	18	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Eastern Jn	Faversham Jn	Eastern Jn – Faversham Jn	44	18	52	13	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	VIR	Faversham Jn	Ramsgate Station	Faversham Jn – Ramsgate Station	52	13	79	21	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO110	ACR	Ramsgate Station	Ramsgate Substation	Ramsgate Station – Ramsgate Substation	85	67	85	22	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO130	XTD	Charing Cross	Metropolitan Jn	Charing Cross – Metropolitan Jn	0	00	1	31	4	R1 R2	R1 R2	N	R1 R2	R1 R2	R1 R2	R1 R2	R1 Prohibited (from points 648) on to the track leading into Charing Cross platform 1 R2 15mph over Charing Cross Bridge (0m 27ch) with all vehicles prohibited on adjacent tracks unless specially authorised by the Structures Engineer
Kent-Sussex-Wessex	0906	SO130	CBM	Cannon Street	Cannon Street Substation	Cannon Street – Cannon Street Substation	0	00	0	20	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO130	CSW	Cannon Street Sub Station	Metropolitan Jn (via Metropolitan Reversible line)	Cannon Street Sub Station – Metropolitan Jn (via Metropolitan Reversible line)	1	53	1	33	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO130	XTD	Metropolitan Jn	Borough Market Jn	Metropolitan Jn – Borough Market Jn	1	31	1	50	8	R1	R1	N	R1	R1	R1	R1	R1 15mph on the Up and Down Cannon Street lines
Kent-Sussex-Wessex	0906	SO130	CBM	Cannon Street Substation	Borough Market Jn	Cannon Street Substation – Borough Market Jn	0	20	0	38	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0906	SO130	XTD	Borough Market Jn	London Bridge platforms 1-9	Borough Market Jn – London Bridge platforms 1-9	01	50	01	69	8 R1	R2 R3	R2 R3	N	R2 R3	R2 R3	R2 R3	R2 R3	R1 RA4 Down & Up Cannon Street Reversible and Down Snow Hill lines NC/G1/2010/ICP-RA/SO001V2 until 01 March 2021 R2 15mph on the Up and Down Cannon Street lines NC/G1/2010/ICP-RA/SO001V2 until 01 March 2021 R3 OPPOS applies over bridge 54 (1m 60ch) on the Up and Down Cannon Street lines
