Kent-Sussex-Wessex	1006	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	313	319	325	377	378	380	387	
Kent-Sussex-Wessex	1006	SW110	WPH1	Woking Jn	Guilford	Woking Jn – Guilford	24	62	30	27	N	Y	H	R1 R2 R3 R4 R5 R6	N	N	R7	R1 Prohibited between Woking Junction and 29m 43ch (Guildford) R2 Class 377/1-377/5 permitted between Guilford platforms 1, 2 and 3 and SW200 (towards Effingham Jn) R3 Prohibited Guildford Down Main platform 4 R4 Prohibited Guildford Up Main platform 5 R5 Prohibited Guildford Up Ash platforms 6 and 7 R6 Prohibited Guildford Down Ash platform 8 R7 Prohibited Guildford platforms 4-8
Kent-Sussex-Wessex	1006	SW110	WPH1	Guilford	Shalford Jn	Guilford – Shalford Jn	30	27	31	42	N	Y	H	R1	N	N	R2	R1 Route prohibited to Class 377/1 – 377/5 R2 Prohibited Guildford platforms 4-8
Kent-Sussex-Wessex	1006	SW110	WPH1	Shalford Jn	Haslemere	Shalford Jn – Haslemere	31	42	42	79	N	Y	H	R1	N	N	Y	R1 Route prohibited to Class 377/1 – 377/5
Kent-Sussex-Wessex	1006	SW110	WPH1	Haslemere	Havant Jn	Haslemere – Havant Jn	42	79	66	17	N	N	N	R1	N	N	Y	R1 Route prohibited to Class 377/1 – 377/5
Kent-Sussex-Wessex	1006	SW110	TBH2	Route Boundary (Sussex SO250) (Barnham)	Havant Jn [Duplicated on SO520]	Route Boundary (Sussex SO250) (Barnham) – Havant Jn [Duplicated on SO520]	35	35	37	25	Y	N	N	Y	N	N	Y	
Kent-Sussex-Wessex	1006	SW110	WPH2	Havant Jn	Farlington Jn [Duplicated on SO520]	Havant Jn – Farlington Jn [Duplicated on SO520]	37	24	40	33	Y	N	N	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1006	SW110	WPH2	Farlington Jn	Portcreek Jn [Duplicated on SO520]	Farlington Jn – Portcreek Jn [Duplicated on SO520]	40	33	41	03	Y	N	N	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1006	SW110	WPH2	Portcreek Jn	Blackfriars Jn [Duplicated on SO520]	Portcreek Jn – Blackfriars Jn [Duplicated on SO520]	41	03	44	50	Y	N	N	Y	N	N	R1	R1 Operation only permitted subject to prior agreement of the Wessex E&P RAM
Kent-Sussex-Wessex	1006	SW110	PAS	Blackfriars Jn	Portsmouth and Southsea Low Level [Duplicated on SO520]	Blackfriars Jn – Portsmouth and Southsea Low Level [Duplicated on SO520]	44	26	44	50	Y	N	N	R1	N	N	N	R1 Route prohibited to Class 377/6 – 377/7
Kent-Sussex-Wessex	1006	SW110	WPH2	Blackfriars Jn	Portsmouth and Southsea High Level [Duplicated on SO520]	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SO520]	44	26	44	50	Y	N	N	R1	N	N	R2	R1 Classes 377/6 – 377/7 prohibited Portsmouth and Southsea Low Level platforms R2 Operation only permitted subject to prior agreement of the Wessex E&P RAM
