Kent-Sussex-Wessex	0844	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	170	171	172	220	221	Notes
Kent-Sussex-Wessex	0844	SO510	LBW	Bricklayers Arms Jn	New Cross Gate Up Jn	Bricklayers Arms Jn – New Cross Gate Up Jn	2	12	2	60	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO510	ELL1	New Cross Gate Up Jn	Network Rail Boundary / Up ELL	New Cross Gate Up Jn – Network Rail Boundary / Up ELL	5	51	5	49	N	N	N	N	N	
Kent-Sussex-Wessex	0844	SO510	LBW	New Cross Gate Up Jn	New Cross Gate Down Jn	New Cross Gate Up Jn – New Cross Gate Down Jn	2	60	3	10	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO510	ELL1	New Cross Gate Down Jn	Network Rail Boundary / Down ELL	New Cross Gate Down Jn – Network Rail Boundary / Down ELL	6	02	5	79	N	N	N	N	N	
Kent-Sussex-Wessex	0844	SO510	LBW	New Cross Gate Down Jn	Sydenham Down Jn	New Cross Gate Down Jn – Sydenham Down Jn	3	10	6	51	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO510	LBW	Sydenham Down Jn	Norwood Jn	Sydenham Down Jn – Norwood Jn	6	51	8	55	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO510	LBW	Norwood Jn	Norwood Fork Jn	Norwood Jn – Norwood Fork Jn	8	55	9	33	N	Y	N	Y	Y	
Kent-Sussex-Wessex	0844	SO510	LBW	Norwood Fork Jn	Cottage Jn / Windmill Bridge Jn	Norwood Fork Jn – Cottage Jn / Windmill Bridge Jn	9	33	9	64	N	Y	N	Y	Y	
Kent-Sussex-Wessex	0844	SO510	NFE	Norwood Fork Jn	Sutton	Norwood Fork Jn – Sutton	9	33	14	75	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO510	NFE	Sutton	Epsom Downs	Sutton – Epsom Downs	14	75	18	60	N	N	N	N	N	
Kent-Sussex-Wessex	0844	SO520	TBH1	Three Bridges	Crawley	Three Bridges – Crawley	29	21	30	49	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO520	TBH1	Crawley	Horsham Jn	Crawley – Horsham Jn	30	49	37	39	N	Y	N	N	N	
Kent-Sussex-Wessex	0844	SO520	TBH1	Horsham Jn	Horsham	Horsham Jn – Horsham	37	39	37	56	N	R1 R2	N	N	N	R1 5mph Horsham Down Loop platform 4 R2 15mph Horsham Up Main platform 2
Kent-Sussex-Wessex	0844	SO520	TBH1	Horsham	Billingshurst	Horsham – Billingshurst	37	56	44	71	N	R1 R2 R3	N	N	N	R1 5mph Horsham Down Loop platform 4 R2 15mph Horsham Up Main platform 2 R3 15mph Billingshurst Down platform
Kent-Sussex-Wessex	0844	SO520	TBH1	Billingshurst	Arundel Jn	Billingshurst – Arundel Jn	44	71	59	75	N	R1 R2	N	N	N	R1 15mph Billingshurst Down platform R2 20mph Pulborough Up platform
Kent-Sussex-Wessex	0844	SO520	TBH2	Arundel Jn	Barnham	Arundel Jn – Barnham	19	01	22	29	Y	R1	N	N	N	R1 5mph Ford Down platform
Kent-Sussex-Wessex	0844	SO520	TBH2	Barnham	Route Boundary (SW110) (Havant Jn)	Barnham – Route Boundary (SW110) (Havant Jn)	22	29	35	35	Y	Y	N	N	N	
