Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	Notes
Kent-Sussex-Wessex	0977	SO520	WPH2	Farlington Jn – Portcreek Jn [Duplicated on SW110]	40	33	41	03	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO520	WPH2	Portcreek Jn – Blackfriars Jn [Duplicated on SW110]	41	03	44	50	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO520	WPH2	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SW110]	44	26	44	50	7	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO520	PAS	Blackfriars Jn – Portsmouth and Southsea Low Level [Duplicated on SW110]	44	26	44	50	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO520	WPH2	Portsmouth and Southsea High Level – Portsmouth Harbour *platforms 4 and 5 RA7 *platforms 1 and 3 RA4 [Duplicated on SW110]	44	50	45	36	7*	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO530	SCU1	South Croydon Jn (SO600) – Sanderstead	11	29	12	23	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO530	SCU1	Sanderstead – Hurst Green Jn	12	23	21	35	6	Y	R1	N	Y	R2	Y	R1	R1 Prohibited beyond 12m 40ch R2 - Class 47/4 locomotives that conform to RA7 prohibited beyond 12m 40ch
Kent-Sussex-Wessex	0977	SO530	HGG1	Hurst Green Jn – End of Line beyond East Grinstead	21	35	30	12	6	Y	N	N	Y	R1	Y	N	R1 Route prohibited to Class 47/4 locomotives that conform to RA7
Kent-Sussex-Wessex	0977	SO540	SCU1	Hurst Green Jn – Uckfield	21	35	46	08	4	R1	N	N	R1	R1 R2	R1	N	R1 30mph over Red Lane Bridge (SCU1 526) (21m 78ch) STNC/G1/2010/ICP-RA/SO018a until 31 December 2017 R2 Route prohibited to Class 47/4 locomotives that conform to RA7
Kent-Sussex-Wessex	0977	SO550	RTT	Redhill (SO500) – Tonbridge	22	40	42	16	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO560	RSJ	Redhill – Reigate	22	40	24	27	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO560	RSJ	Reigate – Route Boundary (SW300) (Shalford Jn)	24	27	33	10	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO590	KJE1	Keymer Jn – Lewes	40	69	49	74	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO590	KJE1/2	Lewes – Southerham Jn [Duplicated on SO620]	49	74	51	11	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO590	KJE3	Southerham Jn – Willingdon Jn	9	14	21	39	8	Y	Y	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0977	SO590	KJE3	Willingdon Jn – Eastbourne	21	39	23	75	8	Y	Y	N	Y	Y	Y	Y	
