Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	170	171	172	220	221	Notes
Kent-Sussex-Wessex	0903	SO590	KJE3	Willingdon Jn – Eastbourne	21	39	23	75	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO600	WJB	Willingdon Jn – Connection - St Leonards LMD	20	36	32	21	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO600	WJB	Connection - St Leonards LMD – Bo Peep Jn	32	21	32	76	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO600	TTH	Bo Peep Jn – Hastings	60	69	62	33	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO600	ATH	Hastings – Ore Start / End of Electrification	82	34	81	42	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO600	ATH	Ore Start / End of Electrification – Jn with Hastings line	81	42	56	20	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO620	BTL	Montpelier Jn – Lewes	0	14	7	77	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO620	KJE1/2	Lewes – Southerham Jn [Duplicated on SO590]	49	74	51	11	N	N	N	N	N	
Kent-Sussex-Wessex	0903	SO620	STS	Southerham Jn – Newhaven Harbour Jn	51	11	56	55	N	N	N	N	N	
Kent-Sussex-Wessex	0903	SO620	NHB	Newhaven Harbour Jn – Wharf Road (Newhaven Marine)	56	55	57	78	N	N	N	N	N	
Kent-Sussex-Wessex	0903	SO620	STS	Newhaven Harbour Jn – Seaford	56	55	58	77	N	N	N	N	N	
Kent-Sussex-Wessex	0903	SO630	BLI1	Brighton platforms 1 and 2 – Hove Jn	0	00	1	28	Y	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO630	BLI1	Hove Jn – Hove platforms 2 and 3	1	28	1	35	Y	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO630	PPH	Hove Jn – Hove Up platform loop via platform 1	50	48	51	02	Y	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO630	BLI1	Hove Up platform loop and platforms 2, and 3 – Arundel Jn	1	28	19	01	Y	R1 R2	N	N	N	R1 15mph Southwick Up platform R2 15mph Shoreham by Sea Down platform
Kent-Sussex-Wessex	0903	SO630	BLI1	Arundel Jn – Littlehampton Jn (Change of Mileage)	19	01	19	25	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO630	FJL	Littlehampton Jn – Ford Jn	60	57	60	26	N	N	N	N	N	
Kent-Sussex-Wessex	0903	SO630	BLI2	Littlehampton Jn (Change of Mileage) – Littlehampton	60	57	62	03	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO640	BBR	Barnham – Bognor Regis	22	29	25	75	N	R1	N	N	N	R1 Prohibited Bognor Regis platforms 2, 3 and 4
Kent-Sussex-Wessex	0903	SO645	ATL	Battersea Park – Factory Jn	7	27	6	67	N	N	N	N	N	
Kent-Sussex-Wessex	0903	SO645	ATL	Factory Jn – Wandsworth Road Jn	6	67	6	53	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO645	ATL	Wandsworth Road Jn – Shepherds Lane Jn	6	53	5	68	N	Y	N	N	N	
Kent-Sussex-Wessex	0903	SO645	ATL	Shepherds Lane Jn – Crofton Road Jn	5	68	3	67	N	Y	N	N	N	
