Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	58	59	60	66	67	68	70	73	97/3	Notes
Kent-Sussex-Wessex	1100	SW100	JAT	Waterloo platforms 20-24 – International Jn	00	00	0	38	8	N	N	N	R1	R1	Y	N	Y	N	R1 Prohibited Waterloo platforms 21 and 23
Kent-Sussex-Wessex	1100	SW100	RDG1	Waterloo platforms 12-19 – International Jn (Windsor lines)	0	00	0	38	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	RDG1	International Jn – Carlisle Lane Jn (Windsor lines)	0	38	0	42	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	RDG1	Carlisle Lane Jn – Nine Elms Jn (Windsor lines)	0	42	2	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	BML1	Waterloo platforms 1-11 – International Jn (Main lines)	0	00	0	38	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	BML1	International Jn – Carlisle Lane Jn (Main lines)	0	38	0	42	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	BML1	Carlisle Lane Jn – Nine Elms Jn (Main lines)	0	42	2	00	8	Y	Y	Y	Y	Y	R1	Y	Y	Y	R1 Prohibited Vauxhall platform 7 (Up Main Slow line)
Kent-Sussex-Wessex	1100	SW100	AHG	Nine Elms Jn – Route Boundary (Kent SO110) (Lindford Street Jn)	2	00	2	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	RDG1	Nine Elms Jn – West London Jn (Windsor lines)	2	00	3	17	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	BML1	Nine Elms Jn – Crossovers at 2m 65ch (Main lines)	2	00	2	65	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	BML1	Crossovers at 2m 65 – West London Jn (Main lines)	2	65	3	17	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	SCC	West London Jn – Route Boundary (Sussex SO250) (Lathmere Jn No.3)	3	17	3	30	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	RDG1	West London Jn – Ludgate Jn (Windsor lines)	3	17	3	57	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	BML1	West London Jn – Ludgate Jn (Main lines)	3	17	3	57	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1100	SW100	FLL2/3	Route Boundary (Sussex SO250) (Longhedge Jn) – Ludgate Jn	1	77	3	57	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
