Kent-Sussex-Wessex	0973	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
Kent-Sussex-Wessex	0973	SO110	HHT	Route Boundary Kent (Herne Hill South Jn)	Tulse Hill North Jn	Route Boundary Kent (Herne Hill South Jn) –Tulse Hill North Jn	4	63	4	76	8	Y	
Kent-Sussex-Wessex	0973	SO110	HHT	Route Boundary Kent (Herne Hill South Jn)	Tulse Hill Substation via platforms 1 and 2	Route Boundary Kent (Herne Hill South Jn) – Tulse Hill Substation via platforms 1 and 2	4	63	5	15	8	R1	R1 Prohibited Tulse Hill platform 2 (Down Loop line)
Kent-Sussex-Wessex	0973	SO110	VIR	Herne Hill South Jn	Beckenham Jn	Herne Hill South Jn – Beckenham Jn	4	06	8	43	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Beckenham Jn	Shortlands Jn	Beckenham Jn – Shortlands Jn	8	43	9	57	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Shortlands Jn	Bickley Jn	Shortlands Jn – Bickley Jn	9	57	12	38	8	Y	
Kent-Sussex-Wessex	0973	SO110	TLP1	Bickley Jn	Petts Wood (Fast Tonbridge Loop)	Bickley Jn – Petts Wood (Fast Tonbridge Loop)	12	38	13	29	8	Y	
Kent-Sussex-Wessex	0973	SO110	TLP2	Bickley Jn	Petts Wood (Slow Tonbridge Loop)	Bickley Jn – Petts Wood (Slow Tonbridge Loop)	12	49	13	35	8	Y	
Kent-Sussex-Wessex	0973	SO110	CSM3	Hawkwood Jn (Up Chatham Loop)	St Mary Cray Jn	Hawkwood Jn (Up Chatham Loop) – St Mary Cray Jn	11	66	12	30	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Bickley Jn	St Mary Cray Down Jn	Bickley Jn – St Mary Cray Down Jn	12	38	12	79	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	St Mary Cray Down Jn	St Mary Cray Up Jn	St Mary Cray Down Jn – St Mary Cray Up Jn	12	79	13	17	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	St Mary Cray Up Jn	Swanley Jn	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	8	R1	R1 Prohibited Swanley platform 3 (Up Chatham Slow line)
Kent-Sussex-Wessex	0973	SO110	VIR	Swanley Jn	Fawkham Jn	Swanley Jn –Fawkham Jn	17	46	22	49	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	FawkhamJn	CTRL	FawkhamJn –CTRL	22	49	0	00	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Fawkham Jn	Rochester Bridge Jn	Fawkham Jn – Rochester Bridge Jn	22	49	33	01	8	R1	R1 Prohibited between Longfield and Meopham on the Down Chatham Main line
Kent-Sussex-Wessex	0973	SO110	VIR	Rochester Bridge Jn	Gillingham	Rochester Bridge Jn – Gillingham	33	01	35	75	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Gillingham	Western Jn	Gillingham –Western Jn	35	75	43	70	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Western Jn	Eastern Jn	Western Jn –Eastern Jn	43	70	44	18	8	Y	
Kent-Sussex-Wessex	0973	SO110	VIR	Eastern Jn	Faversham Jn	Eastern Jn – Faversham Jn	44	18	52	13	8	R1 R2 R3	R1 Prohibited Sittingbourne platform 1 (Up Chatham line) R2 Prohibited between Teynham and Faversham on the Up Chatham line R3 Prohibited Faversham platform 3 (Down Chatham line)
Kent-Sussex-Wessex	0973	SO110	VIR	Faversham Jn	Ramsgate Station	Faversham Jn – Ramsgate Station	52	13	79	21	8	R1 R2 R3	R1 Prohibited between Faversham Jn and Whitstable on the Up Thanet line R2 Prohibited Herne Bay platform 1 (Up line) R3 Prohibited between Herne Bay and Birchington on Sea on the Down Thanet line
Kent-Sussex-Wessex	0973	SO110	ACR	Ramsgate Station	Ramsgate Substation	Ramsgate Station – Ramsgate Substation	85	67	85	22	8	Y	
Kent-Sussex-Wessex	0973	SO130	XTD	Charing Cross	Metropolitan Jn	Charing Cross – Metropolitan Jn	0	00	1	31	4	Y	
