Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	165	Notes
Western	0716	GW770	EBW	Ebbw Vale Parkway – Site of Former Aberbeeg Jn	18	45	14	23	E	R1	R1	Y	Y	Y	N	Y	Y	N	R1 Permitted to assist a failed train / contingency use only
Western	0716	GW770	WVL	Site of Former Aberbeeg Jn – Park Jn	14	23	1	02	E	R1	R1	Y	Y	Y	N	Y	Y	N	R1 Permitted to assist a failed train / contingency use only
Western	0716	GW770	GAE	Park Jn – Gaer Jn (Western Valley Line)	160	24	159	33	N	N	N	Y	Y	Y	N	Y	Y	N	R1
Western	0716	GW773	BJR	Machen Quarry – Site of Former Bassaleg Jn	4	69	0	00	N	N	N	N	N	N	N	N	N	N	R1
Western	0716	GW773	WVL	Site of Former Bassaleg Jn – Park Jn (Machen Branch)	2	05	1	10	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW780	WVL	Park Jn – Park Jn SB	1	02	0	74	E	R1	R1	Y	Y	Y	N	Y	Y	N	R1 Permitted to assist a failed train / contingency use only
Western	0716	GW780	NWN	Park Jn SB – Ebbw Jn	0	54	0	00	E	R1	R1	Y	Y	Y	N	Y	Y	N	R1 Permitted to assist a failed train / contingency use only
Western	0716	GW784	NLL	Alexandra Dock Jn – Network Rail Boundary (Newport Docks)	159	60	160	27	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW790	ROC	Pengam Jn – Change of ELR	168	20	168	61	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW790	ROA	Change of ELR – Network Rail Boundary (ABP Cardiff Docks)	3	41	4	54	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW810	CAR	End of Line (Rhymney) – Ystrad Mynach South Jn	24	00	13	41	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
Western	0716	GW810	CAR	Ystrad Mynach South Jn – Heath Jn	13	41	3	32	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
Western	0716	GW810	CAR	Heath Jn – Cardiff Queen Street North Jn	3	32	1	22	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
Western	0716	GW820	TBD	Network Rail Boundary (Cwmbargoed) – Site of Former Taff Bargoed Branch Jn	19	59	13	53	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW820	VON	Site of Former Taff Bargoed Branch Jn – Site of Former Penallta Jn	13	53	12	41	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW820	PTA	Site of Former Penallta Jn – Ystrad Mynach South Jn	15	01	13	41	N	N	N	N	N	N	N	N	N	N	
Western	0716	GW828	CRY	Coryton – Heath Jn	2	57	0	15	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
