Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Western	0831	GW874	Bridgend, Llynfi Jn – Tondu	Y *	Y	Y	N	N	N	N	N	
Western	0831	GW874	Tondun – Maesteg	Y	N	N	N	N	N	N	N	
Western	0831	GW877	Margam Abbey East / Newlands Loop Jn – Port Talbot Docks (Ogmore Vale Extension)	Y *	Y	Y	N	N	N	N	N	
Western	0831	GW890	Court Sart Jn / Up Flying Loop Jn – Dynover Jn (Swansea District Line)	Y*	Y	Y	N	N	N	N	N	
Western	0831	GW890	Dynover Jn – Morlais Jn	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons at Lonlas Tunnel [1m 07ch - 1m 50ch]
Western	0831	GW8901	Dynevor Jn – Jersey Marine South Jn	Y *	Y	Y	N	N	N	N	N	
Western	0831	GW892	Cwmgwrach – Neath & Brecon Jn	Y *	N	N	N	N	N	N	N	
Western	0831	GW892	Neath & Brecon Jn – Burrows Sidings	Y	Y	Y	N	N	N	N	N	
Western	0831	GW893	Onllwyn – Neath and Brecon Jn	Y	Y	Y	N	N	N	N	N	
Western	0831	GW894	Jersey Marine Jn North – Jersey Marine Jn South	Y	Y	Y	N	N	N	N	N	
Western	0831	GW897	Grovesend Colliery Loop Jn – Hendy Jn	Y	N	N	N	N	N	N	N	
