Western	0802	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western	0802	GW103	Paddington to Uffington (excl)	Paddington	Uffington (excl)	8	10	10	RA8 / 9 / 10 PROHIBITED to run via NCL No. 01 & 02.			
Western	0802	GW105	Uffington to Fordgate via Box	Uffington	Fordgate via Box	8	10	10				
Western	0802	GW107	Worle Jn to Uphill Jn via WSM	Worle Jn	Uphill Jn via WSM	8	10	10				
Western	0802	GW108	Fordgate to Burngullow Jn	Fordgate	Burngullow Jn	8	10	10				
Western	0802	GW108	Burngullow Jn to to Penzance	Burngullow Jn to	Penzance	7	9	9				
Western	0802	GW110	Old Oak Common West to Sth Ruislip	Old Oak Common West	Sth Ruislip	8	10	10				
Western	0802	GW117	Greenford East Jn to Greenford South Jn	Greenford East Jn	Greenford South Jn	8	10	10				
Western	0802	GW130	Acton Wells Jn to Acton East	Acton Wells Jn	Acton East	8	10	10				
Western	0802	GW174	West Ealing to Greenford West	West Ealing	Greenford West	8	10	10				
Western	0802	GW175	Greenford South Jn to Greenford Stn	Greenford South Jn	Greenford Stn	8	8	8				
Western	0802	GW176	Hanwell to Drayton Green Jn	Hanwell	Drayton Green Jn	8	10	10				
Western	0802	GW178	Southall to Brentford Good	Southall	Brentford Good	8	10	10				
Western	0802	GW180	Heathrow Airport Jn to Heathrow T.4 or T.5	Heathrow Airport Jn	Heathrow T.4 or T.5	8	10	10				
Western	0802	GW182	West Drayton to Colnbrook	West Drayton	Colnbrook	8	10	10				
Western	0802	GW184	Slough to Windsor & Eton	Slough	Windsor & Eton	3	6*	6*	Over River Thames Bridge at 20m 56ch	10 MPH	10 MPH	*	For occasional engineers trains only. Structures engineer to be consulted for specific permissions. NC/G1/2010/ICP-RA/GW001 until 31 March 2014
Western	0802	GW185	Maidenhead to Bourne End	Maidenhead	Bourne End	6	6	6				
