Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0734	GW840	RAD	Penarth Curve North Jn – Radyr Branch Jn	0	47	0	25	N	N	Y	N	N	Y	Y	N	N	N	N	
Western	0734	GW850	CLL	Leckwith Loop South Jn – Leckwith Loop North Jn	0	26	0	00	N	N	Y	N	N	Y	Y	N	N	N	N	
Western	0734	GW860	CPL	Penarth Curve North Jn – Penarth Curve South Jn	0	25	0	00	N	N	Y	N	N	Y	Y	N	N	N	N	
Western	0734	GW864	PTH	Cogan Jn – Penarth	0	01	1	12	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW870	VOG	Barry Jn – Bridgend Bay Platform	0	00	19	04	N	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0734	GW871	FOR	Ford Siding GF – Network Rail Boundary (Ford Works, Waterton)	0	00	1	18	N	N	N	N	N	N	N	N	N	N	N	
Western	0734	GW874	BAL	Llynfi Jn – Tondu Jn	0	07	2	70	N	N	Y	N	N	Y	Y	N	N	N	N	
Western	0734	GW874	BAL	Tondu Jn – Maesteg	2	70	8	06	N	N	Y	N	N	Y	N	N	N	N	N	
Western	0734	GW877	POR	Tondu Jn – Cefn Jn	0	00	2	43	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW877	OVE	Cefn Jn – Margam Abbey Works East Jn	7	41	2	41	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW877	OVE	Margam Abbey Works East Jn – Margam East Jn	2	41	1	40	N	N	N	N	N	N	N	N	N	N	N	
Western	0734	GW877	OVE	Margam East Jn – Margam Yard Jn	1	40	0	79	N	N	N	N	N	N	N	N	N	N	N	
Western	0734	GW877	OVE	Margam Yard Jn – Network Rail Boundary (Port Talbot Docks)	0	79	0	56	N	N	N	N	N	N	N	N	N	N	N	
Western	0734	GW890	SDI1	Briton Ferry Up Flying Loop Jn – Dynover Jn	206	14	207	67	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW890	SDI1	Dynover Jn – Jersey Marine Jn North	207	67	208	33	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW890	SDI1	Jersey Marine Jn North – Change of Mileage	208	33	208	49	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW890	SDI2	Change of Mileage – Grovesend Colliery Loop Jn	0	00	10	05	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW890	SDI2	Grovesend Colliery Loop Jn – Morlais Jn	10	05	10	64	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW8901	RSB	Dynevor Jn – Jersey Marine South Jn	19	16	20	24	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0734	GW892	VON	Network Rail Boundary (Cwmgwrach) – Neath & Brecon Jn	33	14	41	17	N	N	N	N	N	N	N	N	N	N	N	
Western	0734	GW892	VON	Neath & Brecon Jn – Burrows Sidings	41	17	46	30	N	N	N	N	N	N	N	N	N	N	N	
Western	0734	GW893	NAB	Network Rail Boundary (Onllwyn) – Neath and Brecon Jn	10	10	0	01	N	N	N	N	N	N	N	N	N	N	N	
