Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	332	345	360	387	Notes
Western	0739	GW195	RLL	Reading Southern Jn – Reading East Jn	35	33	35	61	N	N	N	N	N	
Western	0739	GW200	DCL	Chester Line Jn – Route Boundary (MD401) (Heyford)	53	12	75	00	H	N	N	N	N	
Western	0739	GW220	RWC	Reading, Oxford Road Jn – Reading West Jn	0	43	0	02	H	N	N	N	N	
Western	0739	GW225	RFR	Caversham Road Jn – Oxford Road Jn	36	25	36	74	N	N	N	N	N	
Western	0739	GW240	DEC	Didcot East Jn – Didcot North Jns	52	66	54	00	H	N	N	N	N	
Western	0739	GW250	DWC	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	H	N	N	N	N	
Western	0739	GW260	THA	Kennington Jn – Morris Cowley	18	45	16	04	N	N	N	N	N	
Western	0739	GW277	OXD	Oxford North Jn – Route Boundary (MD736) (29m 25ch)	30	09	29	25	H	N	N	N	N	
Western	0739	GW310	OWW	Wolvercot Jn – Norton Jn	66	32	112	00	H	N	N	N	N	
Western	0739	GW317	OWW	Honeybourne Stratford Line Junction – Start of branch mileage	102	06	101	31	N	N	N	N	N	
Western	0739	GW317	STD	Start of branch mileage – Long Marston	0	00	2	70	N	N	N	N	N	
Western	0739	GW401	BAG2	Route Boundary (MD306) (Ashchurch) – Gloucester Barnwood Jn (Change of ELR)	77	40	92	21	H	N	N	N	N	
Western	0739	GW401	CHL	Gloucester Barnwood Jn (Change of ELR) – Gloucester Yard Jn (Change of ELR)	92	21	93	08	H	N	N	N	N	
Western	0739	GW401	BGL1	Gloucester Yard Jn (Change of ELR) – Change of ELR	93	08	94	10	H	N	N	N	N	
Western	0739	GW401	BGL2	Change of ELR – Standish Jn	94	60	99	69	H	N	N	N	N	
Western	0739	GW401	BGL2	Standish Jn – Yate South Jn (Change of ELR)	99	69	120	03	H	N	N	N	N	
Western	0739	GW401	YAT	Yate South Jn (Change of ELR) – Westerleigh Jn	120	03	121	28	H	N	N	N	N	
Western	0739	GW425	SAW/ SSS	Berkeley Road Jn – Sharpness (Network Rail Boundary)	0	04	3	69	N	N	N	N	N	
Western	0739	GW430	THO	Yate Middle Jn – Tytherington	0	00	6	24	H	N	N	N	N	
Western	0739	GW440	BGL2	Yate South Jn – Westerleigh Yard	120	03	122	65	N	N	N	N	N	
Western	0739	GW450	FEC	Stoke Gifford Jn No.1 – Change of ELR	111	79	113	01	H	N	N	N	N	
Western	0739	GW450	BSW	Change of ELR – Bristol East Jn	4	50	0	26	H	N	N	N	N	
Western	0739	GW4501	AFR	Stoke Gifford Jn No.2 – Hallen Marsh Jn (Change of ELR)	112	05	118	42	H	N	N	N	N	
Western	0739	GW4501	AMB	Hallen Marsh Jn (Change of ELR) – Holesmouth Jn	14	38	14	60	H	N	N	N	N	
