Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	165	Notes
Western	0709	GW184	WIN	Slough – Windsor & Eton Central	18	36	21	19	E	N	N	E	N	N	N	N	N	Y	
Western	0709	GW185	WBB	Maidenhead – Bourne End	24	19	28	55	E	N	N	E	N	N	N	N	N	Y	
Western	0709	GW185	MWB	Bourne End GF – Marlow	0	06	2	54	E	N	N	E	N	N	N	N	N	Y	
Western	0709	GW187	HEN	Twyford – Henley-on- Thames	31	01	35	48	E	N	N	E	N	N	N	N	N	Y	
Western	0709	GW190	RNJ	Route Boundary (SW210) (Reading Spur Jn) – Reading New Jn	68	00	68	35	E	E	E	Y	E	E	E	E	E	Y	
Western	0709	GW195	RLL	Reading Southern Jn – Reading East Jn	35	33	35	61	N	N	N	E	N	N	N	N	N	R1	R1 Prohibited with tripcocks fitted
Western	0709	GW220	RWC	Reading, Oxford Road Jn – Reading West Jn	0	43	0	02	E	E	E	Y	E	E	E	E	E	N	
Western	0709	GW225	RFR	Caversham Road Jn – Oxford Road Jn	36	25	36	74	N	N	N	Y	N	N	N	Y	N	Y	
Western	0709	GW240	DEC	Didcot East Jn – Didcot North Jns	52	66	54	00	E	E	E	E	E	E	E	E	E	Y	
Western	0709	GW250	DWC	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	E	E	E	E	E	E	E	E	E	Y	
Western	0709	GW220	RWC	Reading, Oxford Road Jn – Reading West Jn	0	43	0	02	E	E	E	Y	E	E	E	E	E	N	
Western	0709	GW260	THA	Kennington Jn – Morris Cowley	18	45	16	04	N	N	N	N	N	N	N	N	N	Y	
Western	0709	GW277	OXD	Oxford North Jn – Route Boundary (MD736) (29m 25ch)	30	09	29	25	Y	Y	Y	Y	E	E	Y	Y	Y	Y	
Western	0709	GW310	OWW	Wolvercot Jn – Pershore (excl)	66	32	112	00	E	Y	Y	Y	Y	E	E	Y	Y	Y	
Western	0709	GW317	OWW	Honeybourne Stratford Line Junction – Start of branch mileage	102	06	101	31	N	N	N	N	N	N	N	N	N	N	
