Western	0810	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western	0810	GW864	Cogan Jn to Penarth	Cogan Jn	Penarth	6	6	6		
Western	0810	GW870	Barry to Bridgend (VOG)	Barry	Bridgend (VOG)	8	10	10	Over Bridge at 09m 04 ½ch (Ford Jn – St Athan) Over Bridge at 10m 06ch (Ford Jn – St Athan)	20 MPH 50 MPH	20 MPH 50 MPH		Applies to HTA, BAA & BBA wagons only Applies to HTA, BAA & BBA wagons only
Western	0810	GW874	Llynfi Jn to Tondu	Llynfi Jn	Tondu	6	10	10	THROUGHOUT	20 MPH	20 MPH
Western	0810	GW874	Tondu to Maesteg	Tondu	Maesteg	6	7B	7B		
Western	0810	GW877	Tondu to Port Talbot Dks (OVE)	Tondu	Port Talbot Dks (OVE)	6	10	10		
Western	0810	GW890	Court Sart Jn / Up Flying Loop Jn to Morlais Jn	Court Sart Jn / Up Flying Loop Jn	Morlais Jn	8	10	10		
Western	0810	GW8901	Dynevor Jn to Jersey Marine Jn South	Dynevor Jn	Jersey Marine Jn South	6	10	10		
Western	0810	GW892	Cwmgwrach to Burrows Sidings	Cwmgwrach	Burrows Sidings	6	9	9		
Western	0810	GW893	Onllwyn to Neath and Brecon Jn	Onllwyn	Neath and Brecon Jn	6	9	9		
Western	0810	GW894	Jersey Marine Jn North to Jersey Marine Jn South	Jersey Marine Jn North	Jersey Marine Jn South	6	10	10		
Western	0810	GW897	Grovesend Colliery Loop Jn to Hendy Jn	Grovesend Colliery Loop Jn	Hendy Jn	6	9	9		
Western	0810	GW900	Pilning to Landore	Pilning	Landore	8	10	10		
Western	0810	GW900	Landore to Llandeilo Jn	Landore	Llandeilo Jn	7	10	10		
Western	0810	GW900	Llandeilo Jn to Clarbeston Road	Llandeilo Jn	Clarbeston Road	8	10	10		
Western	0810	GW900	Clarbeston Road to Fishguard Hbr	Clarbeston Road	Fishguard Hbr	7	9B	9B		
Western	0810	GW9001	Landore Jn to Swansea	Landore Jn	Swansea	7	8	8		
Western	0810	GW906	Swansea Loop East Jn to Swansea Loop West Jn	Swansea Loop East Jn	Swansea Loop West Jn	7	8	8		
Western	0810	GW910	Craven Arms Jn to Morlais Jn (CWL)	Craven Arms Jn	Morlais Jn (CWL)	5	5	5	Line subject to Light Railway Order. See Track / Structures Engineer for detail	
Western	0810	GW910	Morlais Jn to Llandeilo Jn	Morlais Jn	Llandeilo Jn	8	10	10		
Western	0810	GW915	G.C.G to Pantyffynnon	G.C.G	Pantyffynnon	5	5	5	Ammanford 12m 36¾ch	10mph	10mph		Applies to Class 66 locomotives only
Western	0810	GW930	Carmarthen Jn to Carmarthen Stn	Carmarthen Jn	Carmarthen Stn	8	10	10		
