Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	332	345	360	387	Notes
Western	0742	GW108	MLN2	St Budeaux Jn – Change of ELR	250	00	256	38	H	N	N	N	N	
Western	0742	GW108	MLN3	Change of ELR – Liskeard Jn	256	40	264	66	H	N	N	N	N	
Western	0742	GW108	MLN3	Liskeard Jn – Lostwithiel Jn	264	66	277	54	H	N	N	N	N	
Western	0742	GW108	MLN3	Lostwithiel Jn – Par Loop Jn	277	54	281	57	H	N	N	N	N	
Western	0742	GW108	MLN3	Par Loop Jn – Burngullow Jn	281	57	288	26	H	N	N	N	N	
Western	0742	GW108	MLN3	Burngullow Jn – Penwithers Jn	288	26	301	25	H	N	N	N	N	
Western	0742	GW108	MLN3	Penwithers Jn – Change of ELR	301	25	305	65	H	N	N	N	N	
Western	0742	GW108	MLN4	Change of ELR – St Erth Jn	305	67	320	73	H	N	N	N	N	
Western	0742	GW108	MLN4	St Erth Jn – Penzance	320	73	326	50	H	N	N	N	N	
Western	0742	GW110	ANL	Old Oak Common West – Greenford East Jn	3	20	7	15	H	EH	N	N	N	
Western	0742	GW110	ANL	Greenford East Jn – Greenford West Jn	7	15	7	48	H	N	N	N	N	
Western	0742	GW110	ANL	Greenford West Jn – Route Boundary (MD705) (Northolt Jn)	7	48	8	60	H	N	N	N	N	
Western	0742	GW117	GEC	Greenford East Jn – Greenford South Jn	8	70	8	45	H	EH	N	N	N	
Western	0742	GW130	AWL	Route Boundary (EA1310) (Acton Wells Jn) – Acton East Jn	0	39	0	08	H	N	E	N	E	
Western	0742	GW174	WEL1	West Ealing Jn – Drayton Green Jn	6	56	7	03	H	EH	N	N	N	
Western	0742	GW174	WEL1	Drayton Green Jn – Greenford South Jn	7	03	8	45	H	EH	N	N	N	
Western	0742	GW174	WEL1	Greenford South Jn – Greenford LUL Bay Jn	8	45	8	65	H	N	N	N	N	
Western	0742	GW174	WEL1	Greenford LUL Bay Jn – Greenford West Jn	8	65	8	76	H	N	N	N	N	
Western	0742	GW175	WEL2	Greenford LUL Bay Jn – Greenford Station	8	65	9	06	N	N	N	N	N	
Western	0742	GW176	HAN	Hanwell Jn – Drayton Green Jn	0	00	0	36	H	EH	N	N	N	
Western	0742	GW178	BRB	Southall – Brentford Goods	0	00	2	70	N	N	N	N	N	
Western	0742	GW180	HLL	Heathrow Airport Jn (Up and Down Main) – NR Boundary (BAA)	11	04	12	27	N	Y	Y	Y	R1	R1 ETCS units only
Western	0742	GW182	STA	West Drayton Jn – End of Branch (Colnbrook)	13	31	16	25	N	N	N	N	N	
Western	0742	GW184	WIN	Slough – Windsor & Eton Central	18	36	21	19	H	N	N	N	N	
Western	0742	GW185	WBB	Maidenhead – Bourne End	24	19	28	55	H	N	N	N	N	
Western	0742	GW185	MWB	Bourne End GF – Marlow	0	06	2	54	H	N	N	N	N	
Western	0742	GW187	HEN	Twyford – Henley-on-Thames	31	01	35	48	H	N	N	N	N	
Western	0742	GW190	RNJ	Route Boundary (SW210) (Reading Spur Jn) – Reading New Jn	68	00	68	35	H	N	N	N	N	
