Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0733	GW810	CAR	Ystrad Mynach South Jn – Heath Jn	13	41	3	32	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW810	CAR	Heath Jn – Cardiff Queen Street North Jn	3	32	1	22	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW820	TBD	Network Rail Boundary (Cwmbargoed) – Site of Former Taff Bargoed Branch Jn	19	59	13	53	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW820	VON	Site of Former Taff Bargoed Branch Jn – Site of Former Penallta Jn	13	53	12	41	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW820	PTA	Site of Former Penallta Jn – Ystrad Mynach South Jn	15	01	13	41	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW828	CRY	Coryton – Heath Jn	2	57	0	15	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW830	CAM	Merthyr Tydfil – Abercynon Jn	24	44	16	35	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW830	CAM	Abercynon Jn – Pontypridd Jn	16	35	13	04	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW830	CAM	Pontypridd Jn – Radyr Jn	13	04	5	23	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW830	CAM	Radyr Jn – Queen Street North Jn	5	23	1	17	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW830	CAM	Queen Street North Jn – Queen Street South Jn	1	17	0	66	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0733	GW830	CEJ	Queen Street South Jn – Cardiff East Jn	0	22	0	00	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0733	GW830	SWM2	Cardiff East Jn – Cardiff West Jn	170	18	170	56	Y	N	Y	N	N	Y	Y	N	R1	Y	N	Prohibited Cardiff Central platform 8
Western	0733	GW830	BRY	Cardiff West Jn – Barry Jn	0	10	8	16	N	N	R1	N	N	Y	Y	N	Y	Y	N	Prohibited between Grangetown and Barry Jn
Western	0733	GW830	BRY	Barry Jn – Buffer Stops (Barry Island)	8	16	8	76	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW834	VON	Network Rail Boundary – Aberdare	26	62	22	34	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW834	VON/ ALK	Aberdare – Cwmbach Change of ELR	22	34	20	68	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW834	ABD/ MOA	Cwmbach Change of ELR – Abercynon Jn (Including Mountain Ash Down Loop ELR MOA)	22	01	16	35	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW835	THT	End of Line – Treherbert	23	69	23	54	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW835	THT	Treherbert – Pontypridd Jn	23	54	13	04	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW839	CAM	Queen Street South Jn – Cardiff Bay	0	66	0	02	N	N	N	N	N	Y	Y	N	N	N	N	
Western	0733	GW840	RAD	Radyr Jn – Leckwith Loop South Jn	4	41	0	69	N	N	N	N	N	N	N	N	N	N	N	
Western	0733	GW840	RAD	Leckwith Loop South Jn – Penarth Curve North Jn	0	69	0	47	N	N	Y	N	N	Y	Y	N	N	N	N	
