Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Western	0836	GW480	SWM1	Swindon Jn – Standish Jn	77	36	106	74	8	R1	R1 Prohibtied from the 'Cirencester' bay platform/siding at Kemble Station
Western	0836	GW490	SWM2	Gloucester Yard Jn – Horton Road Jn	113	03	113	61	8	Y	
Western	0836	GW500	BKE	Westbury Line Jn – Oxford Road Jn	36	17	36	67	8	Y	
Western	0836	GW500	BKE	Oxford Road Jn – Southcote Jn	36	67	37	62	8	Y	
Western	0836	GW500	BKE	Southcote Jn – Route Boundary (SW125) (Basingstoke)	37	62	37	76	8	Y	
Western	0836	GW500	BHL	Southcote Jn – Change of ELR	37	62	81	19	8	Y	
Western	0836	GW500	SWY	Change of ELR – Heywood Road Jn (Change of ELR)	81	19	94	44	8	Y	
Western	0836	GW500	WES	Heywood Road Jn (Change of ELR) – Fairwood Jn (Change of ELR) (via Westbury Avoiding lines)	94	44	97	02	8	Y	
Western	0836	GW500	WEY	Fairwood Jn (Change of ELR) – Clink Road Jn (Change of ELR)	111	18	114	44	8	Y	
Western	0836	GW500	FRA	Clink Road Jn (Change of ELR) – Blatchbridge Jn (Change of ELR)	114	44	116	37	8	Y	
Western	0836	GW500	WEY	Blatchbridge Jn (Change of ELR) – Castle Cary Jn	116	52	129	50	8	Y	
Western	0836	GW500	WEY	Castle Cary Jn – Route Boundary (SW175) (Yeovil Pen Mill Jn)	129	50	130	00	6	Y	
Western	0836	GW500	CCL	Castle Cary Jn – Cogload Jn (Down)	115	32	138	30	8	Y	
Western	0836	GW5001	SAL	Route Boundary (SW170) (Wilton Jn) – Westbury South Jn	115	40	110	07	8	Y	
Western	0836	GW510	WEY	Westbury North Jn – Bradford Jn	109	49	104	40	8	Y	
Western	0836	GW510	BFB	Bradford Jn – Bathampton Jn	9	12	0	00	8	R1 R2	R1 Prohibited through Dundas Aqueduct (Down Trowbridge line) R2 Prohibited through Dundas Aqueduct (Up Trowbridge line)
Western	0836	GW520	WYL	Westbury East Loop Jn – Hawkeridge Jn	94	77	95	32	8	Y	
Western	0836	GW523	WEY	Thingley Jn – Bradford Jn	96	10	104	40	8	Y	
Western	0836	GW528	BRL	North Somerset Jn – Bristol West Jn via St. Philips Marsh	0	00	1	08	8	Y	
Western	0836	GW530	BLL	Feeder Bridge Jn – Dr. Day's Jn (Rhubarb Loop)	117	50	117	73	8	Y	
Western	0836	GW540	BSW	Filton Jn No.1 – Patchway Jn No.2	4	40	5	61	8	Y	
Western	0836	GW5401	PAC	Filton West Jn No.1 – Patchway Jn No.1	0	40	0	00	7	Y	
