Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
Western	0838	GW182	STA	West Drayton Jn – End of Branch (Colnbrook)	13	31	16	25	8	Y	
Western	0838	GW184	WIN	Slough – Windsor & Eton Central	18	36	21	19	3	Y	
Western	0838	GW185	WBB	Maidenhead – Bourne End	24	19	28	55	6	Y	
Western	0838	GW185	MWB	Bourne End GF – Marlow	0	06	2	54	6	Y	
Western	0838	GW187	HEN	Twyford – Henley-on-Thames	31	01	35	48	4	Y	
Western	0838	GW190	RNJ	Route Boundary (SW210) (Reading Spur Jn) – Reading New Jn	68	00	68	35	8	Y	
Western	0838	GW200	DCL	Chester Line Jn – Route Boundary (MD401) (Heyford)	53	12	75	00	8	Y	
Western	0838	GW220	RWC	Reading, Oxford Road Jn – Reading West Jn	0	43	0	02	8	Y	
Western	0838	GW240	DEC	Didcot East Jn – Didcot North Jns	52	66	54	00	8	Y	
Western	0838	GW250	DWC	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	8	Y	
Western	0838	GW260	THA	Kennington Jn – Morris Cowley	18	45	16	04	7	Y	
Western	0838	GW277	OXD	Oxford North Jn – Route Boundary (MD736) (29m 25ch)	30	09	29	25	8	Y	
Western	0838	GW310	OWW	Wolvercot Jn – Norton Jn	66	32	112	00	7	Y	
Western	0838	GW317	OWW	Honeybourne Stratford Line Junction – Start of branch mileage	102	06	101	31	7	Y	
Western	0838	GW317	STD	Start of branch mileage – Long Marston	0	00	2	70	7	Y	
