Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0729	GW548	POD/ PBY	Parson Street Jn – Network Rail boundary (BPC)	120	28	126	34	N	N	N	N	N	N	N	N	N	N	N	
Western	0729	GW560	SWY	Heywood Road Jn – Westbury North Jn	94	45	95	33	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0729	GW560	WEY	Westbury North Jn – Fairwood Jn via Westbury	109	49	111	18	R1	N	R1	N	N	Y	R1	N	R1	R1	N	Prohibited Westbury Down Reception line between signal W202 and points 858
Western	0729	GW570	WEY	Clink Road Jn – Blatchbridge Jn via Frome	114	44	116	52	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0729	GW572	FNS2	Frome North Jn – Change of ELR	0	00	2	38	N	N	N	N	N	N	N	N	N	N	N	
Western	0729	GW572	WQL	Change of ELR – Network Rail Boundary (Mendip Rail - Whatley Quarry)	2	38	2	40	N	N	N	N	N	N	N	N	N	N	N	
Western	0729	GW580	ESB	East Somerset Jn – Network Rail Boundary (East Somerset Railway - Cranmore East)	0	11	5	48	N	N	N	N	N	N	N	N	N	N	N	
Western	0729	GW600	SWB	Wootton Bassett Jn – Stoke Gifford Jn No.1	83	07	111	79	Y	N	R1	N	N	Y	Y	N	R2	R2	N	R1 Prohibited between Wootton Bassett Jn and Westerleigh Jn R2 100mph maximum speed
Western	0729	GW600	SWB	Stoke Gifford Jn No.1 – Patchway Jn No.2	111	79	112	68	Y	N	Y	N	N	Y	Y	N	R1	R1	N	R1 100mph maximum speed
Western	0729	GW600	BSW	Patchway Jn No.2 – Route Boundary Wales	5	61	9	12	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0729	GW600	BSW	Route Boundary – Ableton Lane Tunnel (GW900)	9	12	10	51	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0729	GW606	DAC	Cowley Bridge Jn – Crediton SB	173	50	179	26	Y	N	N	N	N	N	N	N	N	N	N	
Western	0729	GW606	NDN	Crediton SB – End of Line (Barnstaple)	179	26	211	31	Y	N	N	N	N	N	N	N	N	N	N	
Western	0729	GW608	DAC	Crediton – Former Coleford Jn	179	26	183	69	R1	N	N	N	N	N	N	N	N	N	N	R1 Up to 3 cars
Western	0729	GW608	DAC	Former Coleford Jn – Meldon Quarry	183	69	198	72	R1 R2	N	N	N	N	N	N	N	N	N	N	R1 Up to 3 cars R2 Prohibited Okehampton Groundframe to Meldon Quarry
Western	0729	GW610	BAE2	Route Boundary (SW115) (Honiton) – Exeter St Davids Jn	164	30	172	04	R1	N	Y	N	N	N	Y	N	Y	Y	N	R1 Prohibited Route Boundary (SW115) (Honiton) - Single Line Jn (Signal EJ1) (168m 00ch
Western	0729	GW611	EMT	Exmouth Jn – Exmouth	0	01	9	32	R1	N	N	N	N	N	N	N	Y	Y	N	R1 Prohibited Polsloe Bridge Halt Single line with crush deflated suspension
Western	0729	GW618	MOB	Newton Abbott East Jn – End of Line (Beyond Heathfield)	0	14	4	07	N	N	N	N	N	N	N	N	N	N	N	
