Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Western	0757	GW110	ANL	Old Oak Common West – Greenford East Jn	3	20	7	15	Y	Y	Y	Y	N	Y	N	
Western	0757	GW110	ANL	Greenford East Jn – Greenford West Jn	7	15	7	48	Y	Y	Y	Y	N	Y	N	
Western	0757	GW110	ANL	Greenford West Jn – Route Boundary (MD705) (Northolt Jn)	7	48	8	60	Y	Y	Y	Y	N	Y	N	
Western	0757	GW117	GEC	Greenford East Jn – Greenford South Jn	8	70	8	45	Y	Y	Y	Y	N	Y	N	
Western	0757	GW130	AWL	Route Boundary (EA1310) (Acton Wells Jn) – Acton East Jn	0	39	0	08	Y	Y	Y	EH	N	Y	N	
Western	0757	GW174	WEL1	West Ealing Jn – Drayton Green Jn	6	56	7	03	Y	Y	Y	Y	N	Y	N	
Western	0757	GW174	WEL1	Drayton Green Jn – Greenford South Jn	7	03	8	45	Y	Y	Y	Y	N	Y	N	
Western	0757	GW174	WEL1	Greenford South Jn – Greenford LUL Bay Jn	8	45	8	65	Y	Y	Y	Y	N	Y	N	
Western	0757	GW174	WEL1	Greenford LUL Bay Jn – Greenford West Jn	8	65	8	76	Y	Y	Y	Y	N	Y	N	
Western	0757	GW175	WEL2	Greenford LUL Bay Jn – Greenford Station	8	65	9	06	N	N	N	N	N	N	N	
Western	0757	GW176	HAN	Hanwell Jn – Drayton Green Jn	0	00	0	36	Y	Y	Y	Y	N	Y	N	
Western	0757	GW178	BRB	Southall – Brentford Goods	0	00	2	70	N	N	N	N	N	N	N	
Western	0757	GW180	HLL	Heathrow Airport Jn (Up and Down Main) – NR Boundary (BAA)	11	04	12	27	N	N	N	N	N	N	N	
Western	0757	GW182	STA	West Drayton Jn – End of Branch (Colnbrook)	13	31	16	25	N	N	N	N	N	N	N	
Western	0757	GW184	WIN	Slough – Windsor & Eton Central	18	36	21	19	Y	Y	Y	N	N	N	N	
Western	0757	GW185	WBB	Maidenhead – Bourne End	24	19	28	55	Y	Y	N	N	N	N	N	
Western	0757	GW185	MWB	Bourne End GF – Marlow	0	06	2	54	Y	Y	N	N	N	N	N	
Western	0757	GW187	HEN	Twyford – Henley-on-Thames	31	01	35	48	Y	Y	N	N	N	N	N	
Western	0757	GW190	RNJ	Route Boundary (SW210) (Reading Spur Jn) – Reading New Jn	68	00	68	35	Y	Y	Y	N	N	N	N	
Western	0757	GW195	RLL	Reading Southern Jn – Reading East Jn	35	33	35	61	Y	Y	Y	N	N	N	N	
Western	0757	GW200	DCL	Chester Line Jn – Route Boundary (MD401) (Heyford)	53	12	75	00	Y	Y	Y	Y	N	Y	N	
Western	0757	GW220	RWC	Reading, Oxford Road Jn – Reading West Jn	0	43	0	02	Y	Y	Y	N	N	N	N	
Western	0757	GW225	RFR	Caversham Road Jn – Oxford Road Jn	36	25	36	74	Y	Y	Y	N	N	N	N	
Western	0757	GW240	DEC	Didcot East Jn – Didcot North Jns	52	66	54	00	Y	Y	Y	N	N	N	N	
Western	0757	GW250	DWC	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	Y	Y	Y	N	N	N	N	
Western	0757	GW260	THA	Kennington Jn – Morris Cowley	18	45	16	04	N	N	N	N	N	N	N	
Western	0757	GW277	OXD	Oxford North Jn – Route Boundary (MD736) (29m 25ch)	30	09	29	25	Y	Y	Y	Y	Y	R1	N	R1 20mph maximum speed
