Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western	0800	GW637	DAC	St Budeaux Jn – Buffer Stops (Beyond Bere Alston)	227	22	219	75	4	N	R1	N	N	N	N	N	R1	R1 5mph over Tamerton Viaduct (224m 78ch)
Western	0800	GW637	CAL	Bere Alston Jn – Gunnislake	0	02	4	40	4	N	B	N	N	N	N	N	B	
Western	0800	GW640	LIL	Liskeard – Coombe Jn	8	67	6	75	4	N	Y	N	N	Y	N	N	Y	
Western	0800	GW640	LOO	Coombe Jn – Looe	6	52	0	19	4	N	Y	N	N	N	N	N	Y	
Western	0800	GW640	LOO	Coombe Jn – Coombe No.2 GF	6	52	6	66	4	N	Y	N	N	Y	N	N	Y	
Western	0800	GW642	LOO	Coombe No.2 GF – Network Rail Boundary (Moorswater)	6	66	7	20	4	N	Y	N	N	Y	N	N	Y	
Western	0800	GW650	LOF	Lostwithiel – Network Rail Boundary (Carne Point)	277	54	281	59	8	Y	Y	Y	N	N	Y	Y	Y	
Western	0800	GW660	PAR	Par Loop Jn – St Blazey Jn	281	57	282	16	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW660	NEW	St Blazey Jn – Newquay	282	16	302	49	6	R1	B R2	N	N	R2 R3	R2	N	R2	R1 Prohibited between Goonbarrow and Newquay R2 20mph over bridge NEW-28936 (289m 36ch) R3 Trains working to / from a possession, or to assist a failed train in an emergency. Prior permission must be obtained from Network Rail Control
Western	0800	GW672	SDS	Burngullow Jn – Drinnick Mill	288	26	291	31	6	Y	Y	N	N	N	Y	N	Y	
Western	0800	GW672	SDS	Drinnick Mill – Parkandillack	291	31	293	52	5	Y	Y	N	N	N	N	N	Y	
Western	0800	GW680	FAL1- 3	Penwithers Jn – Falmouth	301	25	312	46	6	N	Y	N	N	N	Y	N	Y	
Western	0800	GW690	SIV	St Erth – St Ives	321	02	325	13	5	N	B	N	N	N	N	N	Y	
Western	0800	GW700	BAG2	Gloucester Barnwood Jn – Horton Road Jn	92	21	92	75	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW700	SWM2	Horton Road Jn – Route Boundary Wales	113	61	129	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW700	SWM2	Route Boundary Wales – Severn Tunnel Jn	129	00	149	14	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW710	NO ELR	Llanwern Works East – Llanwern Works West via BSS (Corus Infrastructure)	153	08	156	03	8	R1	R1	R1	R1	R1	R1	Y	R1	R1 See Sectional Appendix Local Instructions
Western	0800	GW720	EUB	Network Rail Boundary (Uskmouth) – East Usk Jn	3	07	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW730	SHL	Severn Bridge Jn – Craven Arms Jn	0	11	20	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW730	SHL	Craven Arms Jn – Shelwick Jn	20	01	49	26	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0800	GW730	SHL	Shelwick Jn – Site of former Rotherwas Jn	49	26	52	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
