Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notesooooooooooooooooooooo
Western	0724	GW105	MLN1	Bristol East Jn – Bristol West Jn	118	02	118	58	Y	N	R1 R2 R3 R4 R5	N	N	Y	R6	N	R6	R6	N	R1 Prohibited Bristol Temple Meads platforms 1 and 2 and adjacent sidings R2 Prohibited Bedminster - Parson Street Jn Prohibited Bristol Temple Meads platforms 5 and 6 with air bags deflated/ failed secondary suspension R3 Prohibited Bristol Temple Meads Dock, Parcels and Fish platforms R4 Prohibited West Carriage Sidings R5 Prohibited Bristol Temple Meads platform 2 and adjacent sidings
Western	0724	GW105	MLN1	Bristol West Jn – Parson Street Jn	118	58	120	28	Y	N	R1	N	N	Y	Y	N	Y	Y	N	R1 Prohibited beyond signal BL6731 and BL6733 Carriage Line and Carriage Washer Line Prohibited all other lines
Western	0724	GW105	MLN1	Parson Street Jn – Worle Jn	120	28	135	11	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW105	MLN1	Worle Jn – Uphill Jn (direct)	135	11	138	04	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW105	MLN1	Uphill Jn – Fordgate	138	04	154	12	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW107	WSM	Worle Jn – Uphill Jn via Weston-Super-Mare	135	11	139	05	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Fordgate – Cogload Jn (Up)	154	12	158	23	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Cogload Jn (Up) – Norton Fitzwarren Jn (Connection - West Somerset Railway)	158	23	164	60	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Norton Fitzwarren Jn (Connection - West Somerset Railway) – Cowley Bridge Jn	164	40	192	52	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Cowley Bridge Jn – Exeter St Davids Jn	192	52	194	00	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Exeter St Davids Jn – Newton Abbot East Jn	194	00	213	75	Y	N	E	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Newton Abbot East Jn – Newton Abbot West Jn	213	75	214	43	R1	N	E	N	N	Y	Y	N	Y	Y	N	R1 20mph through Newton Abbot platform 2
Western	0724	GW108	MLN1	Newton Abbot West Jn – Tavistock Jn Yard	214	43	242	55	Y	N	E	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Tavistock Jn Yard – Laira Jn	242	55	243	67	Y	N	E	N	N	Y	Y	N	Y	Y	N	
Western	0724	GW108	MLN1	Laira Jn – Lipson Jn	243	67	244	35	Y	N	E	N	N	Y	Y	N	Y	Y	N	
