Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0727	GW401	BAG2	Route Boundary (MD306) (Ashchurch) – Gloucester Barnwood Jn (Change of ELR)	77	40	92	21	Y	N	Y	N	R4	Y	Y	E	Y	Y	N	R1 10mph Ashchurch Up platform R2 20mph Cheltenham Spa Down platform R3 Route prohibited to Class 165/0 R1 Route prohibited to Class 172/0 and 172/1
Western	0727	GW401	CHL	Gloucester Barnwood Jn (Change of ELR) – Gloucester Yard Jn (Change of ELR)	92	21	93	08	Y	N	Y	N	N	Y	Y	N	Y	Y	N	R2 Route prohibited to Class 165/0
Western	0727	GW401	BGL1	Gloucester Yard Jn (Change of ELR) – Change of ELR	93	08	94	10	Y	N	Y	N	N	Y	Y	N	Y	Y	N	R1 Route prohibited to Class 165/0
Western	0727	GW401	BGL2	Change of ELR – Standish Jn	94	60	99	69	Y	N	Y	N	N	Y	Y	N	Y	Y	N	R1 Route prohibited to Class 165/0
Western	0727	GW401	BGL2	Standish Jn – Yate South Jn (Change of ELR)	99	69	120	03	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW401	YAT	Yate South Jn (Change of ELR) – Westerleigh Jn	120	03	121	28	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW425	SAW/S SS	Berkeley Road Jn – Sharpness (Network Rail Boundary)	0	04	3	69	N	N	N	N	N	N	N	N	N	N	N	
Western	0727	GW430	THO	Yate Middle Jn – Tytherington	0	00	6	24	N	N	N	N	N	N	N	N	N	N	N	
Western	0727	GW440	BGL2	Yate South Jn – Westerleigh Yard	120	03	122	65	N	N	N	N	N	N	N	N	N	N	N	
Western	0727	GW450	FEC	Stoke Gifford Jn No.1 – Change of ELR	111	79	113	01	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW450	BSW	Change of ELR – Bristol East Jn	4	50	0	26	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW4501	AFR	Stoke Gifford Jn No.2 – Hallen Marsh Jn (Change of ELR)	112	05	118	42	R1	N	N	N	N	Y	Y	N	Y	Y	N	R1 Prohibited Stoke Gifford Jn No 2 - Filton West Jn
Western	0727	GW4501	AMB	Hallen Marsh Jn (Change of ELR) – Holesmouth Jn	14	38	14	60	N	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW4501	AMB	Holesmouth Jn – Avonmouth (Bristol Bulk Handling Terminal)	14	60	15	40	N	N	N	N	N	N	N	N	N	N	N	
Western	0727	GW451	FWC	Filton Jn No 2 – Filton West Jn No.2	4	66	5	41	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW454	AMB	Severn Beach – St Andrews Jn (Change of ELR)	11	64	16	00	Y	N	N	N	N	R1	R1	N	R1	R1	N	R1 Prohibited between Severn Beach Station and Holesmouth Jn
Western	0727	GW454	CNX	St Andrews Jn (Change of ELR) – Narroways Hill Jn	9	32	2	03	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0727	GW480	SWM1	Swindon Jn – Standish Jn	77	36	106	74	Y	N	N	N	N	Y	Y	N	Y	Y	N	R1 Route prohibited to Class 165/0 R2 20mph Stroud Down platform
Western	0727	GW490	SWM2	Gloucester Yard Jn – Horton Road Jn	113	03	113	61	Y	N	Y	N	N	Y	Y	Y	Y	Y	N	R1 Route prohibited to Class 165/0
