Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western	0797	GW401	BGL2	Change of ELR – Standish Jn	94	60	99	69	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW401	BGL2	Standish Jn – Yate South Jn (Change of ELR)	99	69	120	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW401	YAT	Yate South Jn (Change of ELR) – Westerleigh Jn	120	03	121	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW425	SAW/S SS	Berkeley Road Jn – Sharpness (Network Rail Boundary)	0	04	3	69	6	N	Y	N	Y	N	Y	Y	Y	
Western	0797	GW430	THO	Yate Middle Jn – Tytherington	0	00	6	24	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW440	BGL2	Yate South Jn – Westerleigh Yard	120	03	122	65	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW450	FEC	Stoke Gifford Jn No.1 – Change of ELR	111	79	113	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW450	BSW	Change of ELR – Bristol East Jn	4	50	0	26	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW4501	AFR	Stoke Gifford Jn No.2 – Hallen Marsh Jn (Change of ELR)	112	05	118	42	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW4501	AMB	Hallen Marsh Jn (Change of ELR) – Holesmouth Jn	14	38	14	60	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW4501	AMB	Holesmouth Jn – Avonmouth (Bristol Bulk Handling Terminal)	14	60	15	40	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW451	FWC	Filton Jn No 2 – Filton West Jn No.2	4	66	5	41	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW454	AMB	Severn Beach – St Andrews Jn (Change of ELR)	11	64	16	00	7	B	Y	N	Y	Y	Y	Y	Y	
Western	0797	GW454	CNX	St Andrews Jn (Change of ELR) – Narroways Hill Jn	9	32	2	03	7	R1 B	R1	N	R1	R1	R1	Y	R1	R1 10mph over bridge CNX-0306 (3m 06ch)
Western	0797	GW480	SWM1	Swindon Jn – Standish Jn	77	36	106	74	8	Y	Y	Y	Y	R1	Y	Y	Y	R1 Prohibited Kemble Tamper siding
Western	0797	GW490	SWM2	Gloucester Yard Jn – Horton Road Jn	113	03	113	61	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW500	BKE	Westbury Line Jn – Oxford Road Jn	36	17	36	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW500	BKE	Oxford Road Jn – Southcote Jn	36	67	37	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW500	BKE	Southcote Jn – Route Boundary (SW125) (Basingstoke)	37	62	37	76	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW500	BHL	Southcote Jn – Change of ELR	37	62	81	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0797	GW500	SWY	Change of ELR – Heywood Road Jn (Change of ELR)	81	19	94	44	8	Y	Y	Y	Y	Y	Y	Y	Y	
