Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0730	GW750	BNC	Hereford Yard Jn – Brecon Curve Jn	0	00	0	19	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW750	HNL2	Brecon Curve Jn – MEB Siding	149	44	149	78	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW770	EBW	Ebbw Vale Parkway – Site of Former Aberbeeg Jn	18	45	14	23	N	N	N	Y	N	N	Y	N	N	N	N	N
Western	0730	GW770	WVL	Site of Former Aberbeeg Jn – Park Jn	14	23	1	02	N	N	N	Y	N	N	Y	N	N	N	N	N
Western	0730	GW770	GAE	Park Jn – Gaer Jn (Western Valley Line)	160	24	159	33	N	N	N	Y	N	N	Y	N	N	N	N	N
Western	0730	GW773	BJR	Machen Quarry – Site of Former Bassaleg Jn	4	69	0	00	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW773	WVL	Site of Former Bassaleg Jn – Park Jn (Machen Branch)	2	05	1	10	N	N	N	Y	N	N	N	N	N	N	N	N
Western	0730	GW780	WVL	Park Jn – Park Jn SB	1	02	0	74	N	N	N	Y	N	N	Y	N	N	N	N	N
Western	0730	GW780	NWN	Park Jn SB – Ebbw Jn	0	54	0	00	N	N	N	Y	N	N	Y	N	N	N	N	N
Western	0730	GW784	NLL	Alexandra Dock Jn – Network Rail Boundary (Newport Docks)	159	60	160	27	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW790	ROC	Pengam Jn – Change of ELR	168	20	168	61	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW790	ROA	Change of ELR – Network Rail Boundary (ABP Cardiff Docks)	3	41	4	54	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW810	CAR	End of Line (Rhymney) – Ystrad Mynach South Jn	24	00	13	41	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW810	CAR	Ystrad Mynach South Jn – Heath Jn	13	41	3	32	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW810	CAR	Heath Jn – Cardiff Queen Street North Jn	3	32	1	22	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW820	TBD	Network Rail Boundary (Cwmbargoed) – Site of Former Taff Bargoed Branch Jn	19	59	13	53	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW820	VON	Site of Former Taff Bargoed Branch Jn – Site of Former Penallta Jn	13	53	12	41	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW820	PTA	Site of Former Penallta Jn – Ystrad Mynach South Jn	15	01	13	41	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW828	CRY	Coryton – Heath Jn	2	57	0	15	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW830	CAM	Merthyr Tydfil – Abercynon Jn	24	44	16	35	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW830	CAM	Abercynon Jn – Pontypridd Jn	16	35	13	04	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW830	CAM	Pontypridd Jn – Radyr Jn	13	04	5	23	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW830	CAM	Radyr Jn – Queen Street North Jn	5	23	1	17	N	N	N	N	N	N	N	N	N	N	N	N
Western	0730	GW830	CAM	Queen Street North Jn – Queen Street South Jn	1	17	0	66	N	N	N	N	N	N	Y	Y	N	N	N	N
Western	0730	GW830	CEJ	Queen Street South Jn – Cardiff East Jn	0	22	0	00	N	N	N	N	N	N	Y	Y	N	N	N	N
