Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	165	Notes
Western	0710	GW401	CHL	Gloucester Barnwood Jn (Change of ELR) – Gloucester Yard Jn (Change of ELR)	92	21	93	08	E	Y	Y	Y	Y	E	E	Y	Y	E R1	R1 Route prohibited to Class 165/0
Western	0710	GW401	BGL1	Gloucester Yard Jn (Change of ELR) – Change of ELR	93	08	94	10	E	Y	Y	Y	Y	E	E	Y	Y	E R1	R1 Route prohibited to Class 165/0
Western	0710	GW401	BGL2	Change of ELR – Standish Jn	94	60	99	69	E	Y	Y	Y	Y	E	E	Y	Y	E R1	R1 Route prohibited to Class 165/0
Western	0710	GW401	BGL2	Standish Jn – Yate South Jn (Change of ELR)	99	69	120	03	E	Y	Y	Y	Y	E	E	Y	Y	N	
Western	0710	GW401	YAT	Yate South Jn (Change of ELR) – Westerleigh Jn	120	03	121	28	E	Y	Y	Y	Y	E	E	Y	Y	N	
Western	0710	GW425	SAW/SSS	Berkeley Road Jn – Sharpness (Network Rail Boundary)	0	04	3	69	N	N	N	N	N	N	N	N	N	N	
Western	0710	GW430	THO	Yate Middle Jn – Tytherington	0	00	6	24	E	Y	Y	Y	Y	N	N	Y	Y	N	
Western	0710	GW440	BGL2	Yate South Jn – Westerleigh Yard	120	03	122	65	N	N	N	N	N	N	N	N	N	N	
Western	0710	GW450	FEC	Stoke Gifford Jn No.1 – Change of ELR	111	79	113	01	E	Y	Y	Y	Y	N	N	Y	Y	Y	
Western	0710	GW450	BSW	Change of ELR – Bristol East Jn	4	50	0	26	E	Y	Y	Y	Y	N	N	Y	Y	Y	
Western	0710	GW4501	AFR	Stoke Gifford Jn No.2 – Hallen Marsh Jn (Change of ELR)	112	05	118	42	E	Y	Y	Y	Y	N	N	Y	Y	N	
Western	0710	GW4501	AMB	Holesmouth Jn – Avonmouth (Bristol Bulk Handling Terminal)	14	60	15	40	N	N	N	N	N	N	N	N	N	N	
Western	0710	GW451	FWC	Filton Jn No 2 – Filton West Jn No.2	4	66	5	41	E	Y	Y	Y	Y	N	N	Y	Y	Y	
Western	0710	GW454	AMB	Severn Beach – St Andrews Jn (Change of ELR)	11	64	16	00	E	Y	Y	Y	Y	N	N	R1	R1	N	R1 15mph Severn Beach platform
