Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	332	345	360	387	Notes
Western	0750	GW900	SWM 2	Cardiff East Jn – Cardiff West Jn	170	18	170	56	H	N	N	N	Y	
Western	0750	GW900	SWM 2	Cardiff West Jn – Court Sart Jn	170	56	206	58	H	N	N	N	R1	R1 Prohibited Lecwith Loop North Jn to Court Sart Jn
Western	0750	GW900	SWM 2	Court Sart Jn – Llandore Jn	206	58	214	62	H	N	N	N	N	
Western	0750	GW900	SWM 2	Llandore Jn – Llandeilo Jn	214	62	223	49	H	N	N	N	N	
Western	0750	GW900	SWM 2	Llandeilo Jn – Carmarthen Bridge Jn	223	49	245	32	H	N	N	N	N	
Western	0750	GW900	SWM 2	Carmarthen Bridge Jn – Whitland Jn	245	32	259	01	H	N	N	N	N	
Western	0750	GW900	SWM 2	Whitland Jn – Clarbeston Road Jn	259	01	271	08	H	N	N	N	N	
Western	0750	GW900	CRL	Clarbeston Road Jn – Change of ELR (Letterston Jn)	271	08	281	58	H	N	N	N	N	
Western	0750	GW900	NPF	Change of ELR (Letterston Jn) – Network Rail Boundary (Fishguard Harbour)	283	30	287	52	H	N	N	N	N	
Western	0750	GW9001	SWA	Landore Jn – Swansea	214	62	216	07	H	N	N	N	N	
Western	0750	GW906	SWL	Swansea Loop East Jn – Swansea Loop West Jn	0	53	0	00	H	N	N	N	N	
Western	0750	GW910	CWL1	Craven Arms Jn – Change of Mileage	20	01	20	12	H	N	N	N	N	
Western	0750	GW910	CWL2	Change of Mileage – Site of Former Llandovery Jn	0	00	59	14	H	N	N	N	N	
Western	0750	GW910	VOT	Site of Former Llandovery Jn – Llandeilo	29	40	18	07	H	N	N	N	N	
Western	0750	GW910	LLA	Llandeilo – Pantyffynnon	18	07	10	08	H	N	N	N	N	
Western	0750	GW910	LLA	Pantyffynnon – Morlais Jn	10	08	3	50	H	N	N	N	N	
Western	0750	GW910	LLA	Morlais Jn – Llandeilo Jn	3	50	0	00	H	N	N	N	N	
Western	0750	GW915	GWA	Gwaun-cae-Gurwen – Former Jn (Change of ELR)	16	41	14	60	N	N	N	N	N	
Western	0750	GW915	GNT	Former Jn (Change of ELR) – Pantyffynnon	14	60	10	04	N	N	N	N	N	
Western	0750	GW930	CAN	Carmarthen Jn – End of Line (Beyond Carmarthen Station)	245	10	245	65	H	N	N	N	N	
Western	0750	GW940	CAN/ CNW	Up Sidings No.2 GF – Carmarthen Bridge Jn	245	43	245	32	H	N	N	N	N	
Western	0750	GW950	PEM	Whitland Jn – Pembroke RA Change	259	01	284	22	H	N	N	N	N	
Western	0750	GW950	PEM	Pembroke RA Change – Pembroke Dock	284	22	286	26	H	N	N	N	N	
