Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Western	0751	GW103	MLN1	Paddington – Old Oak Common West	0	05	3	20	Y	Y	Y	R1	N	Y	N	
Western	0751	GW103	MLN1	Old Oak Common West – Acton East Jn	3	20	4	07	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Acton East Jn – West Ealing Jn	4	07	6	54	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	West Ealing Jn – Hanwell Jn	6	54	7	19	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Hanwell Jn – Heathrow Airport Jn (Down Main)	7	19	11	15	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Heathrow Airport Jn (Down Main) – Stockley Bridge Jn (Limit of Electrification)	11	15	12	09	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Stockley Bridge Jn (Limit of Electrification) – Slough	12	09	18	36	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Slough – Maidenhead Jn	18	36	24	24	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Maidenhead Jn – Henley Branch Jn	24	24	31	04	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Henley Branch Jn – Reading New Jn	31	04	35	40	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Reading New Jn – Westbury Line Jn	35	40	36	17	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	RLL	Reading East Jn – Route Boundary (SW210 ) (Reading Southern Jn)	35	61	35	38	Y	Y	Y	N	N	N	N	
Western	0751	GW103	MLN1	Westbury Line Jn – Reading West Jn	36	17	36	78	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Reading West Jn – Didcot East Jn	36	78	52	66	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Didcot East Jn – Chester Line Jn	52	66	53	12	Y	Y	Y	Y	N	Y	N	
Western	0751	GW103	MLN1	Chester Line Jn – Foxhall Jn	53	12	53	55	Y	Y	Y	N	N	N	N	
Western	0751	GW103	MLN1	Foxhall Jn – Uffington	53	55	66	39	Y	Y	Y	N	N	N	N	
Western	0751	GW105	MLN1	Uffington – Swindon Jn	66	39	77	36	Y	Y	Y	N	N	N	N	
Western	0751	GW105	MLN1	Swindon Jn – Wootton Bassett Jn	77	36	83	07	Y	Y	Y	N	N	N	N	
Western	0751	GW105	MLN1	Wootton Bassett Jn – Thingley Jn	83	07	96	10	Y	Y	Y	N	N	N	N	
