Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
Western	0775	GW620	TOR	Newton Abbott West Jn – Paignton Crossover Ground Frame	214	43	222	25	6	Y	Y	Y	Y	Y	Y	Y	N	
Western	0775	GW628	SUT1	Laira Jn – Speedway Jn	244	02	244	30	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW628	PLO	Lipson Jn – Speedway Jn	0	00	0	22	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW628	SUT1	Speedway Jn – Mount Gould Jn	244	30	244	43	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW628	SUT2	Mount Gould Jn – Former Friary Jn	244	41	244	60	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW628	FRY	Former Friary Jn – Turnchapel Branch Jn	244	60	245	17	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW628	TUR/ CWR	Turnchapel Branch Jn – Buffer Stops	0	00	0	78	5	Y	N	N	N	N	Y	N	N	
Western	0775	GW628	FRY	Turnchapel Branch Jn – Plymouth Friary	245	17	245	40	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW637	DAC	St Budeaux Jn – Buffer Stops (Beyond Bere Alston)	227	22	219	75	4	N	N	R1	N	R1	R1	R1	N	R1 5mph over Tamerton Viaduct (224m 78ch)
Western	0775	GW637	CAL	Bere Alston Jn – Gunnislake	0	02	4	40	4	N	N	Y	N	Y	B	B	N	
Western	0775	GW640	LIL	Liskeard – Coombe Jn	8	67	6	75	4	Y	N	Y	Y	N	Y	Y	N	
Western	0775	GW640	LOO	Coombe Jn – Looe	6	52	0	19	4	Y	N	Y	Y	N	Y	Y	N	
Western	0775	GW640	LOO	Coombe Jn – Coombe No.2 GF	6	52	6	66	4	Y	N	Y	Y	N	Y	Y	N	
Western	0775	GW642	LOO	Coombe No.2 GF – Network Rail Boundary (Moorswater)	6	66	7	20	4	Y	N	Y	Y	N	Y	Y	N	
Western	0775	GW650	LOF	Lostwithiel – Network Rail Boundary (Carne Point)	277	54	281	59	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW660	PAR	Par Loop Jn – St Blazey Jn	281	57	282	16	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW660	NEW	St Blazey Jn – Newquay	282	16	302	49	6	R1	R1	R1	R1	R1	R1	R1	N	R1 20mph over bridge NEW-28936 (289m 36ch)
Western	0775	GW672	SDS	Burngullow Jn – Drinnick Mill	288	26	291	31	6	Y	Y	Y	N	Y	Y	Y	N	
Western	0775	GW672	SDS	Drinnick Mill – Parkandillack	291	31	293	52	5	Y	R1	Y	N	Y	Y	R1	N	R1 Route prohibited to Class 20 and 37/5 locomotives that conform to RA6
Western	0775	GW680	FAL1- 3	Penwithers Jn – Falmouth	301	25	312	46	6	Y	Y	Y	Y	Y	Y	Y	N	
Western	0775	GW690	SIV	St Erth – St Ives	321	02	325	13	5	Y	Y	Y	N	Y	Y	N	N	
Western	0775	GW700	BAG2	Gloucester Barnwood Jn – Horton Road Jn	92	21	92	75	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW700	SWM 2	Horton Road Jn – Route Boundary Wales	113	61	129	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW700	SWM 2	Route Boundary Wales – Severn Tunnel Jn	129	00	149	14	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0775	GW710	NO ELR	Llanwern Works East – Llanwern Works West via BSS (Corus Infrastructure)	153	08	156	03	8	R1	R1	R1	R1	R1	R1	R1	R1	R1 See Sectional Appendix Local Instructions
