Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	165	Notes
Western	0713	GW710	NO ELR	Llanwern Works East – Llanwern Works West via BSS (Corus Infrastructure)	153	08	156	03	N	N	N	N	N	N	N	N	N	N	
Western	0713	GW720	EUB	Network Rail Boundary (Uskmouth) – East Usk Jn	3	07	0	00	N	N	N	N	N	N	N	N	N	N	
Western	0713	GW730	SHL	Severn Bridge Jn – Craven Arms Jn	0	11	20	01	E	R1	R1	Y	Y	Y	Y	Y	Y	N	R1 Prohibited between Severn Bridge Jn and Sutton Bridge Jn
Western	0713	GW730	SHL	Craven Arms Jn – Shelwick Jn	20	01	49	26	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW730	SHL	Shelwick Jn – Site of former Rotherwas Jn	49	26	52	19	E	Y	Y	Y	Y	Y	Y	Y	Y	R1	R1 Prohibited between Hereford Diesel Depot sidings and Site of Former Rotherwas Jn
Western	0713	GW730	HDC	Site of former Rotherwas Jn – Site of former Red Hill Jn	0	00	1	74	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW730	HNL1	Site of former Red Hill Jn – Maindee West Jn	1	74	41	66	E	Y	Y	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW731	WSJ2	Route Boundary (MD801) (Madeley Jn) – Abbey Foregate Jn	170	46	171	15	E	N	N	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW731	WSJ2	Abbey Foregate Jn – Crewe Jn	171	15	171	57	E	R1 R2	R1 R2	Y	Y	Y	Y	Y	Y	R1	R2 Prohibited between Abbey Foregate Jn and Shrewsbury R3 Prohibited Shrewsbury Station Howard Street Landing (Loading Dock)
Western	0713	GW731	WSJ2	Crewe Jn – Route Boundary (NW3005) (Wrexham General)	171	57	199	00	E	E	E	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW732	AFE	Abbey Foregate Jn – English Bridge Jn (Loop Lines)	0	25	0	00	E	N	N	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW733	SBA1/2	Sutton Bridge Jn – Welshpool	0	00	33	70	E	N	N	N	N	N	N	Y	Y	N	
Western	0713	GW733	SBA2	Welshpool – Aberystwyth	33	70	95	60	E	N	N	N	N	N	N	Y	Y	N	
Western	0713	GW734	DJP	Dovey Jn – Pwllheli	78	60	132	70	E	N	N	N	N	N	N	Y	Y	N	
Western	0713	GW735	SYC	Crewe Jn – Route Boundary (NW1007) (Limit of Electrification)	32	29	2	60	E	N	N	Y	Y	Y	Y	Y	Y	N	
Western	0713	GW736	GNQ1	Gobowen South – Commencement of single line board	0	00	0	16	N	N	N	N	N	N	N	N	N	N	
