Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	88	97/3	Notes
Western	0798	GW500	WES	Heywood Road Jn (Change of ELR) – Fairwood Jn (Change of ELR) (via Westbury Avoiding Lines)	94	44	97	02	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW500	WEY	Fairwood Jn (Change of ELR) – Clink Road Jn (Change of ELR)	111	18	114	44	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW500	FRA	Clink Road Jn (Change of ELR) – Blatchbridge Jn (Change of ELR)	114	44	116	37	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW500	WEY	Blatchbridge Jn (Change of ELR) – Castle Cary Jn	116	52	129	50	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW500	WEY	Castle Cary Jn – Route Boundary (SW175) (Yeovil Pen Mill Jn)	129	50	130	00	6	Y	Y	Y	N	N	Y	N	Y	
Western	0798	GW500	CCL	Castle Cary Jn – Cogload Jn (Down)	115	32	138	30	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW5001	SAL	Route Boundary (SW170) (Wilton Jn) – Westbury South Jn	115	40	110	07	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW510	WEY	Westbury North Jn – Bradford Jn	109	49	104	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW510	BFB	Bradford Jn – Bathampton Jn	9	12	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW520	WYL	Westbury East Loop Jn – Hawkeridge Jn	94	77	95	32	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW523	WEY	Thingley Jn – Bradford Jn	96	10	104	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW528	BRL	North Somerset Jn – Bristol West Jn via St Philips Marsh	0	00	1	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW530	BLL	Feeder Bridge Jn – Dr Day’s Jn (Rhubarb Loop)	117	50	117	73	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW540	BSW	Filton Jn No.1 – Patchway Jn No.2	4	40	5	61	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW5401	PAC	Filton West Jn No.1 – Patchway Jn No.1	0	40	0	00	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW548	POD/ PBY	Parson Street Jn – Network Rail boundary (BPC)	120	28	126	34	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW560	SWY	Heywood Road Jn – Westbury North Jn	94	45	95	33	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW560	WEY	Westbury North Jn – Fairwood Jn via Westbury	109	49	111	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW570	WEY	Clink Road Jn – Blatchbridge Jn via Frome	114	44	116	52	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western	0798	GW572	FNS2	Frome North Jn – Change of ELR	0	00	2	38	6	Y	Y	Y	N	N	Y	N	Y	
Western	0798	GW572	WQL	Change of ELR – Network Rail Boundary (Mendip Rail - Whatley Quarry)	2	38	2	40	6	Y	Y	Y	N	N	Y	N	Y	
