Route	page	Line of Route	Line of Route / Sector Description	RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western	0813	GW660	Goonbarrow Jn to Newquay	6	6	6	THROUGHOUT Class 66 only at Over Bridges: 289m 72ch, 295m 01 ¼ch, 297m 36 ¾ch	30 MPH 10 MPH 10 MPH 10 MPH	30 MPH 10 MPH 10 MPH 10 MPH	Applies to all wagons empty or loaded & locomotives
Western	0813	GW672	Burngullow to Drinnick Mill	6	9	9				
Western	0813	GW672	Drinnick Mill to Parkandillack	5	9	9				
Western	0813	GW680	Penwithers Jn to Falmouth	6	8	8				
Western	0813	GW690	St Erth to St Ives	5	5	5	THROUGHOUT	10 MPH	10 MPH	Applies to all wagons empty or loaded & locomotives
Western	0813	GW700	Gloucester Barnwood Jn to Severn Tunnel Jn	8	10	10				
Western	0813	GW710	Llanwern Works East to Works West via Steelworks	8	10	10				
Western	0813	GW720	Uskmouth to East Usk Jn	8	10	10				
Western	0813	GW730	Severn Bridge Jn to Newport, Maindee West Jn	8	10	10	Over Bridge at 42m 53 ¼ch (Dinmore Tnl - Leominster)	30 MPH	30 MPH	
Western	0813	GW731	Abbey Foregate to Ruabon	8	10	10	Over Bridge No. 438 (170 MP) (Allscott GF – Abbey Foregate Jn)	20 MPH	20 MPH	Belvedere Viaduct
Western	0813	GW732	Abbey Foregate to English Bridge Jn	8	10	10				
Western	0813	GW733	Sutton Bridge Jn to Welshpool	7	7	7				
Western	0813	GW733	Welshpool to Dovey Jn	5	5	5				
Western	0813	GW733	Dovey Jn to Aberystwyth	5	5	5				
Western	0813	GW734	Dovey Jn to Morfa Mawddach	5	5	5				
Western	0813	GW734	Morfa Mawddach to Barmouth	5	5	5				
Western	0813	GW734	Barmouth to Pwllheli	5	5	5				
Western	0813	GW735	Severn Bridge Jn to Nantwich	8	10	10				
Western	0813	GW736	Gobowen South to Llanddu Jn	5	5	5				
Western	0813	GW740	Maindee North Jn to Maindee East Jn	8	10	10				
Western	0813	GW750	Brecon Curve GF to MEB Siding	8	10	10				
Western	0813	GW770	Ebbw Vale Parkway to Gaer Jn	5	10	10				
