Western-and-Wales	0734	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Western-and-Wales	0734	GW105	MLN1	Thingley Jn	North Somerset Jn	Thingley Jn – North Somerset Jn	96	10	117	46	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW105	MLN1	North Somerset Jn	Feeder Bridge Jn	North Somerset Jn – Feeder Bridge Jn	117	46	117	50	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW105	MLN1	Feeder Bridge Jn	Bristol East Jn	Feeder Bridge Jn – Bristol East Jn	117	50	118	02	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW105	MLN1	Bristol East Jn	Bristol West Jn	Bristol East Jn – Bristol West Jn	118	02	118	58	Y	Y	R1	N	N	N	N	R1 Prohibited Bristol Temple Meads Platform 2 and adjacent sidings
Western-and-Wales	0734	GW105	MLN1	Bristol West Jn	Parson Street Jn	Bristol West Jn – Parson Street Jn	118	58	120	28	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW105	MLN1	Parson Street Jn	Worle Jn	Parson Street Jn – Worle Jn	120	28	135	11	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW105	MLN1	Worle Jn	Uphill Jn (direct)	Worle Jn – Uphill Jn (direct)	135	11	138	04	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW105	MLN1	Uphill Jn	Fordgate	Uphill Jn – Fordgate	138	04	154	12	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW107	WSM	Worle Jn	Uphill Jn via Weston-Super-Mare	Worle Jn – Uphill Jn via Weston-Super-Mare	135	11	139	05	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Fordgate	Cogload Jn (Up)	Fordgate – Cogload Jn (Up)	154	12	158	23	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Cogload Jn (Up)	Norton Fitzwarren Jn (Connection - West Somerset Railway)	Cogload Jn (Up) – Norton Fitzwarren Jn (Connection - West Somerset Railway)	158	23	164	60	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Norton Fitzwarren Jn (Connection - West Somerset Railway)	Cowley Bridge Jn	Norton Fitzwarren Jn (Connection - West Somerset Railway) – Cowley Bridge Jn	164	40	192	52	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Cowley Bridge Jn	Exeter St Davids Jn	Cowley Bridge Jn – Exeter St Davids Jn	192	52	194	00	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Exeter St Davids Jn	Newton Abbot East Jn	Exeter St Davids Jn – Newton Abbot East Jn	194	00	213	75	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Newton Abbot East Jn	Newton Abbot West Jn	Newton Abbot East Jn – Newton Abbot West Jn	213	75	214	43	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Newton Abbot West Jn	Tavistock Jn Yard	Newton Abbot West Jn – Tavistock Jn Yard	214	43	242	55	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Tavistock Jn Yard	Laira Jn	Tavistock Jn Yard – Laira Jn	242	55	243	67	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Laira Jn	Lipson Jn	Laira Jn – Lipson Jn	243	67	244	35	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN1	Lipson Jn	Change of ELR (Site of Former Devonport Jn / Cornwall Loop)	Lipson Jn – Change of ELR (Site of Former Devonport Jn / Cornwall Loop)	244	35	246	15	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN2	Change of ELR (Site of Former Devonport Jn / Cornwall Loop)	St Budeaux Jn	Change of ELR (Site of Former Devonport Jn / Cornwall Loop) – St Budeaux Jn	247	28	250	00	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN2	St Budeaux Jn	Change of ELR	St Budeaux Jn – Change of ELR	250	00	256	38	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN3	Change of ELR	Liskeard Jn	Change of ELR – Liskeard Jn	256	40	264	66	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN3	Liskeard Jn	Lostwithiel Jn	Liskeard Jn – Lostwithiel Jn	264	66	277	54	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN3	Lostwithiel Jn	Par Loop Jn	Lostwithiel Jn – Par Loop Jn	277	54	281	57	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN3	Par Loop Jn	Burngullow Jn	Par Loop Jn – Burngullow Jn	281	57	288	26	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN3	Burngullow Jn	Penwithers Jn	Burngullow Jn – Penwithers Jn	288	26	301	25	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN3	Penwithers Jn	Change of ELR	Penwithers Jn – Change of ELR	301	25	305	65	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN4	Change of ELR	St Erth Jn	Change of ELR – St Erth Jn	305	67	320	73	Y	Y	Y	N	N	N	N	
Western-and-Wales	0734	GW108	MLN4	St Erth Jn	Penzance	St Erth Jn – Penzance	320	73	326	50	Y	Y	Y	N	N	N	N	
