Western-and-Wales	0812	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
Western-and-Wales	0812	GW103	RLL	Reading East Jn	Route Boundary (SW210 ) (Reading Southern Jn)	Reading East Jn – Route Boundary (SW210 ) (Reading Southern Jn)	35	61	35	38	8	Y	
Western-and-Wales	0812	GW103	MLN1	Westbury Line Jn	Reading West Jn	Westbury Line Jn – Reading West Jn	36	17	36	78	8	Y	
Western-and-Wales	0812	GW103	MLN1	Reading West Jn	Didcot East Jn	Reading West Jn – Didcot East Jn	36	78	52	66	8	Y	
Western-and-Wales	0812	GW103	MLN1	Didcot East Jn	Chester Line Jn	Didcot East Jn – Chester Line Jn	52	66	53	12	8	Y	
Western-and-Wales	0812	GW103	MLN1	Chester Line Jn	Foxhall Jn	Chester Line Jn – Foxhall Jn	53	12	53	55	8	Y	
Western-and-Wales	0812	GW103	MLN1	Foxhall Jn	Uffington	Foxhall Jn – Uffington	53	55	66	39	8	Y	
Western-and-Wales	0812	GW105	MLN1	Uffington	Swindon Jn	Uffington – Swindon Jn	66	39	77	36	8	Y	
Western-and-Wales	0812	GW105	MLN1	Swindon Jn	Wootton Bassett Jn	Swindon Jn – Wootton Bassett Jn	77	36	83	07	8	Y	
Western-and-Wales	0812	GW105	MLN1	Wootton Bassett Jn	Thingley Jn	Wootton Bassett Jn – Thingley Jn	83	07	96	10	8	Y	
Western-and-Wales	0812	GW105	MLN1	Thingley Jn	North Somerset Jn	Thingley Jn – North Somerset Jn	96	10	117	46	8	Y	
Western-and-Wales	0812	GW105	MLN1	North Somerset Jn	Feeder Bridge Jn	North Somerset Jn – Feeder Bridge Jn	117	46	117	50	8	Y	
Western-and-Wales	0812	GW105	MLN1	Feeder Bridge Jn	Bristol East Jn	Feeder Bridge Jn – Bristol East Jn	117	50	118	02	8	Y	
Western-and-Wales	0812	GW105	MLN1	Bristol East Jn	Bristol West Jn	Bristol East Jn – Bristol West Jn	118	02	118	58	8	R1	R1 Prohibited Bristol Temple Meads platform 2 (Up West bay)
Western-and-Wales	0812	GW105	MLN1	Bristol West Jn	Parson Street Jn	Bristol West Jn – Parson Street Jn	118	58	120	28	8	Y	
Western-and-Wales	0812	GW105	MLN1	Parson Street Jn	Worle Jn	Parson Street Jn – Worle Jn	120	28	135	11	8	Y	
Western-and-Wales	0812	GW105	MLN1	Worle Jn	Uphill Jn (direct)	Worle Jn – Uphill Jn (direct)	135	11	138	04	8	Y	
Western-and-Wales	0812	GW105	MLN1	Uphill Jn	Fordgate	Uphill Jn – Fordgate	138	04	154	12	8	Y	
Western-and-Wales	0812	GW107	WSM	Worle Jn	Uphill Jn via Weston- Super -Mare	Worle Jn – Uphill Jn via Weston- Super -Mare	135	11	139	05	8	Y	
Western-and-Wales	0812	GW108	MLN1	Fordgate	Cogload Jn (Up)	Fordgate – Cogload Jn (Up)	154	12	158	23	8	Y	
Western-and-Wales	0812	GW108	MLN1	Cogload Jn (Up)	Norton Fitzwarren Jn (Connection West Somerset Railway)	Cogload Jn (Up) – Norton Fitzwarren Jn (Connection West Somerset Railway)	158	23	164	60	8	Y	
Western-and-Wales	0812	GW108	MLN1	Norton Fitzwarren Jn (Connection West Somerset Railway)	Cowley Bridge Jn	Norton Fitzwarren Jn (Connection West Somerset Railway) – Cowley Bridge Jn	164	40	192	52	8	Y	
Western-and-Wales	0812	GW108	MLN1	Cowley Bridge Jn	Exeter St Davids Jn	Cowley Bridge Jn – Exeter St Davids Jn	192	52	194	00	8	Y	
Western-and-Wales	0812	GW108	MLN1	Exeter St Davids Jn	Newton Abbot East Jn	Exeter St Davids Jn – Newton Abbot East Jn	194	00	213	75	8	Y	
Western-and-Wales	0812	GW108	MLN1	Newton Abbot East Jn	Newton Abbot West Jn	Newton Abbot East Jn – Newton Abbot West Jn	213	75	214	43	8	Y	
Western-and-Wales	0812	GW108	MLN1	Newton Abbot West Jn	Tavistock Jn Yard	Newton Abbot West Jn – Tavistock Jn Yard	214	43	242	55	8	R1	R1 Prohibited between Ivybridge and Hemerdon GF on the Up Main line
Western-and-Wales	0812	GW108	MLN1	Tavistock Jn Yard	Laira Jn	Tavistock Jn Yard – Laira Jn	242	55	243	67	8	Y	
Western-and-Wales	0812	GW108	MLN1	Laira Jn	Lipson Jn	Laira Jn – Lipson Jn	243	67	244	35	8	Y	
