Western-and-Wales	0796	Line of Route	Line of Route / Sector Description	RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western-and-Wales	0796	GW940	Carmarthen Stn to Carmarthen Bridge Jn	8	10	10				
Western-and-Wales	0796	GW950	Whitland to Pembroke	7	8	8	THROUGHOUT	40 MPH	40 MPH	
Western-and-Wales	0796	GW950	Pembroke to Pembroke Dock	6	8	8	THROUGHOUT	40 MPH	40 MPH	
Western-and-Wales	0796	GW960	Clarbeston Rd to Milford Haven	8	10	10				
Western-and-Wales	0796	GW970	Gulf Oil Branch to Waterston	8	10	10				
Western-and-Wales	0796	GW980	Herbrandston Jn to Robeston	8	10	10				
