Western-and-Wales	0764	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	58	59	Notes
Western-and-Wales	0764	GW300	ABW	Abbotswood Jn	Norton Jn	Abbotswood Jn – Norton Jn	0	00	0	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW300	OWW	Norton Jn	Shrub Hill Jn	Norton Jn – Shrub Hill Jn	117	26	120	46	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW300	OWW	Shrub Hill Jn	Droitwich Spa Jn	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW300	STO	Droitwich Spa Jn	Stoke Works Jn	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW310	OWW	Wolvercot Jn	Norton Jn	Wolvercot Jn – Norton Jn	66	32	117	26	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW317	OWW	Honeybourne Stratford Line Junction	Start of branch mileage	Honeybourne Stratford Line Junction – Start of branch mileage	102	06	101	31	7	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW317	STD	Start of branch mileage	Long Marston	Start of branch mileage – Long Marston	0	00	2	70	7	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW340	WAH	Shrub Hill Jn	Henwick SB (Branch Single)	Shrub Hill Jn – Henwick SB (Branch Single)	120	46	121	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW340	WAH	Henwick SB	Shelwick Jn	Henwick SB – Shelwick Jn	121	65	148	11	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW350	BLW	Worcester Tunnel Jn	Site of former Rainbow Hill Jn Change of ELR	Worcester Tunnel Jn – Site of former Rainbow Hill Jn Change of ELR	0	30	0	00	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW350	WAH	Site of former Rainbow Hill Jn Change of ELR	Henwick SB (Droitwich Single)	Site of former Rainbow Hill Jn Change of ELR – Henwick SB (Droitwich Single)	120	64	121	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW370	OWW	Droitwich Spa	Route Boundary (MD430) (Kidderminster)	Droitwich Spa – Route Boundary (MD430) (Kidderminster)	126	21	130	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW401	BAG2	Route Boundary (MD306) (Ashchurch)	Gloucester Barnwood Jn (Change of ELR)	Route Boundary (MD306) (Ashchurch) – Gloucester Barnwood Jn (Change of ELR)	77	40	92	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW401	CHL	Gloucester Barnwood Jn (Change of ELR)	Gloucester Yard Jn (Change of ELR)	Gloucester Barnwood Jn (Change of ELR) – Gloucester Yard Jn (Change of ELR)	92	21	93	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW401	BGL1	Gloucester Yard Jn (Change of ELR)	Change of ELR	Gloucester Yard Jn (Change of ELR) – Change of ELR	93	08	94	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW401	BGL2	Change of ELR	Standish Jn	Change of ELR – Standish Jn	94	60	99	69	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW401	BGL2	Standish Jn	Yate South Jn (Change of ELR)	Standish Jn – Yate South Jn (Change of ELR)	99	69	120	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW401	YAT	Yate South Jn (Change of ELR)	Westerleigh Jn	Yate South Jn (Change of ELR) – Westerleigh Jn	120	03	121	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW425	SAW/ SSS	Berkeley Road Jn	Sharpness (Network Rail Boundary)	Berkeley Road Jn – Sharpness (Network Rail Boundary)	0	04	3	69	6	N	Y	N	Y	N	Y	N	N	
Western-and-Wales	0764	GW430	THO	Yate Middle Jn	Tytherington	Yate Middle Jn – Tytherington	0	00	6	24	8	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW440	BGL2	Yate South Jn	Westerleigh Yard	Yate South Jn – Westerleigh Yard	120	03	122	65	8	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW450	FEC	Stoke Gifford Jn No.1	Change of ELR	Stoke Gifford Jn No.1 – Change of ELR	111	79	113	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW450	BSW	Change of ELR	Bristol East Jn	Change of ELR – Bristol East Jn	4	50	0	26	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0764	GW4501	AFR	Stoke Gifford Jn No.2	Hallen Marsh Jn (Change of ELR)	Stoke Gifford Jn No.2 – Hallen Marsh Jn (Change of ELR)	112	05	118	42	7	Y	Y	Y	Y	Y	Y	Y	Y	
