Western-and-Wales	0808	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Western-and-Wales	0808					W6a	W7	W8	W9	W9Plus	W10	W10A	W12	
Western-and-Wales	0808	GW900	Pilning – Severn Tunnel Junction(s)	Pilning	Severn Tunnel Junction(s)	Y *	Y	Y	N	N	N	N	N	
Western-and-Wales	0808	GW900	Severn Tunnel Junction – Maindee West Jn	Severn Tunnel Junction	Maindee West Jn	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA IDA wagons
Western-and-Wales	0808	GW900	Maindee West Jn – Cardiff East Jn	Maindee West Jn	Cardiff East Jn	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA wagons ALL LINES 2896(h) x 2500(w) on IDA wagons Newport New Tunnel Only
Western-and-Wales	0808	GW900	Cardiff East Jn – Court Sart Jn / Up Flying Loop Jn	Cardiff East Jn	Court Sart Jn / Up Flying Loop Jn	Y *	Y	Y	N	N	N	N	N	
Western-and-Wales	0808	GW900	Court Sart Jn / Up Flying Loop Jn – Llandore Jn	Court Sart Jn / Up Flying Loop Jn	Llandore Jn	Y *	N	N	N	N	N	N	N	
