Western-and-Wales	0794	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes	
Western-and-Wales	0794	GW773	Machen Quarry to Park Jn	Machen Quarry	Park Jn	6	8	8	Over Bridge - 01m 05 ¼ch	10 MPH	10 MPH		
Western-and-Wales	0794	GW780	Park Jn to Ebbw Jn	Park Jn	Ebbw Jn	8	10	10					
Western-and-Wales	0794	GW784	Alexandra Dock to Newport Dk	Alexandra Dock	Newport Dk	8	10	10					
Western-and-Wales	0794	GW790	Pengam Jn to Cardiff Docks	Pengam Jn	Cardiff Docks	7	10	10					
Western-and-Wales	0794	GW810	Rhymney to Ystrad Mynach	Rhymney	Ystrad Mynach	6	6	6	Over Bridge at 17m 09 ½ch (Pengam – Gilfach Fargoed)	10 MPH	10 MPH		Applies to all wagons empty or loaded & locomotives
Western-and-Wales	0794	GW810	Ystrad Mynach to Cardiff Queen St	Ystrad Mynach	Cardiff Queen St	6	9	9					
Western-and-Wales	0794	GW820	Cwmbargoed to Ystrad Mynach Sth	Cwmbargoed	Ystrad Mynach Sth	8	9	9					
Western-and-Wales	0794	GW828	Coryton to Heath Jn	Coryton	Heath Jn	6	6	6					
Western-and-Wales	0794	GW830	Merthyr Tydfil to Abercynon	Merthyr Tydfil	Abercynon	6	8B	8B	THROUGHOUT	30 MPH	30 MPH		Applies to all wagons empty or loaded & locomotives
Western-and-Wales	0794	GW830	Abercynon to Pontypridd	Abercynon	Pontypridd	6	10	10	THROUGHOUT	30 MPH	30 MPH		Applies to all wagons empty or loaded & locomotives
Western-and-Wales	0794	GW830	Pontypridd to Radyr	Pontypridd	Radyr	6	10	10					
Western-and-Wales	0794	GW830	Radyr to to Cardiff Cent via Llandaff	Radyr to	Cardiff Cent via Llandaff	8	9	9					
Western-and-Wales	0794	GW830	Cardiff Cent to Barry	Cardiff Cent	Barry	8	10	10					
Western-and-Wales	0794	GW830	Barry to Barry Island	Barry	Barry Island	6	6	6					Freight trains above 390 tonnes are not allowed to pass any other train on Barry Island Viaduct
Western-and-Wales	0794	GW834	Hirwaun to Aberdare	Hirwaun	Aberdare	6	10	10	Over Bridge at 22m 31 ½ ch	30 MPH	30 MPH		
Western-and-Wales	0794	GW834	Aberdare to Abercynon	Aberdare	Abercynon	6	10	10	Over Bridge at 18m 47 ½ ch	20 MPH	20 MPH		
Western-and-Wales	0794	GW835	Treherbert to Pontypridd Jn	Treherbert	Pontypridd Jn	6	9B	9B	Over Bridge at 23m 09ch Over Bridge at 22m 07 ½ ch Over Bridge at 21m 33 ½ ch Over Bridge at 21m 11 ¾ ch Over Bridge at 15m ½ ch Over Bridge at 13m 20 ¾ ch	40 MPH 20 MPH 40 MPH 40 MPH 20 MPH 10 MPH	40 MPH 20 MPH 40 MPH 40 MPH 20 MPH 10 MPH		
Western-and-Wales	0794	GW839	Queen Street to Cardiff Bay	Queen Street	Cardiff Bay	6	6	6					
Western-and-Wales	0794	GW840	Radyr Jn to Cardiff, Radyr Branch Jn via City Lines	Radyr Jn	Cardiff, Radyr Branch Jn via City Lines	8	10	10					
Western-and-Wales	0794	GW850	Leckwith Loop Jn South to Leckwith Loop North Jn	Leckwith Loop Jn South	Leckwith Loop North Jn	8	10	10					
Western-and-Wales	0794	GW860	Penarth Curve North Jn to Penarth Curve South Jn	Penarth Curve North Jn	Penarth Curve South Jn	8	10	10					
