Anglia-Route	0386	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	171	172	175	180	220	221	222	Notes
Anglia-Route	0386	EA1010	LTN1	Liverpool Street platforms 1-10	Liverpool St (L) IECC	Liverpool Street platforms 1-10 – Liverpool St (L) IECC	0	00	0	22	N	N	N	N	N	N	E R1	R1 Prohibited Liverpool Street platform 2
Anglia-Route	0386	EA1010	LVS	Liverpool Street platforms 11-18	Liverpool St (L) IECC	Liverpool Street platforms 11-18 – Liverpool St (L) IECC	0	00	0	22	N	N	N	N	N	N	E R1	R1 Liverpool Street Platforms 11-18 diesel traction see Sectional Appendix Local Instructions
Anglia-Route	0386	EA1010	LTN1	Liverpool St (L) IECC	Bethnal Green East Jn	Liverpool St (L) IECC – Bethnal Green East Jn	0	22	1	10	N	N	N	N	N	N	E R1	R1 Prohibited Bishopsgate Tunnel down suburban line
Anglia-Route	0386	EA1010	LTN1	Bethnal Green East Jn	Mile End	Bethnal Green East Jn – Mile End	1	10	2	02	N	N	N	N	N	N	E	
Anglia-Route	0386	EA1010	LTN1	Mile End	Bow Jn	Mile End – Bow Jn	2	02	2	74	N	N	N	N	N	N	E	
Anglia-Route	0386	EA1010	LTN1	Bow Jn	Carpenters Road South Jn	Bow Jn – Carpenters Road South Jn	2	74	3	54	N	N	N	N	N	N	E	
Anglia-Route	0386	EA1010	LTN1	Carpenters Road South Jn	Stratford Central Jn West	Carpenters Road South Jn – Stratford Central Jn West	3	54	3	70	N	N	N	N	N	N	E	
Anglia-Route	0386	EA1010	LTN1	Stratford Central Jn West	Stratford Central Jn East	Stratford Central Jn West – Stratford Central Jn East	3	70	3	75	N	Y	N	N	N	E	E	
Anglia-Route	0386	EA1010	LTN1	Stratford Central Jn East	Forest Gate Jn	Stratford Central Jn East – Forest Gate Jn	3	75	5	63	N	R1 R2 R3	N	N	N	E	E	R1 Laden services between Stratford Central Jn East and Stratford R2 ECS between Stratford and Forest Gate R3 Prohibited Maryland platform 3 with footsteps fitted
Anglia-Route	0386	EA1010	LTN1	Forest Gate Jn	Ilford Depot London End	Forest Gate Jn – Ilford Depot London End	5	63	7	63	N	E R1	N	N	N	E R2 R3	E R2 R3	R1 Prohibited Ilford Depot roads 10 and 11 R2 Prohibited Ilford platform 4 (Down Electric) with deflated suspension R3 Prohibited Manor Park platform 2 (Down Electric) with deflated suspension
Anglia-Route	0386	EA1010	LTN1	Ilford Depot London End	Seven Kings	Ilford Depot London End – Seven Kings	7	63	8	45	N	N	N	N	N	E R1	E R1	R1 Prohibited Seven Kings platform 1 (Up Main) with deflated suspension
Anglia-Route	0386	EA1011	LTN1	Seven Kings	Romford Jn	Seven Kings – Romford Jn	8	45	12	39	N	N	N	N	N	N	N	
Anglia-Route	0386	EA1011	LTN1	Romford Jn	Shenfield Jn	Romford Jn – Shenfield Jn	12	39	20	22	N	N	N	N	N	N	N	
Anglia-Route	0386	EA1011	LTN1	Shenfield Jn	Witham Jn	Shenfield Jn – Witham Jn	20	22	38	55	N	N	N	N	N	N	N	
Anglia-Route	0386	EA1011	LTN1	Witham Jn	Marks Tey Jn	Witham Jn – Marks Tey Jn	38	55	46	49	N	N	N	N	N	N	N	
