Anglia-Route	0455	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	59 0	60	66	67	68	70	73	97/3	MPV	Notes
Anglia-Route	0455	EA1560	EMP	Ely West Jn	Route Boundary (LN135) (Peterborough)	Ely West Jn – Route Boundary (LN135) (Peterborough)	72	39	98	40	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia-Route	0455	EA1570	WIG	March East Jn	Whitemoor Jn	March East Jn – Whitemoor Jn	85	78	86	18	8	N	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia-Route	0455	EA1570	MWL	March West Jn	Whitemoor Jn	March West Jn – Whitemoor Jn	0	00	0	13	8	N	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia-Route	0455	EA1570	WIG	Whitemoor Jn	Wisbech	Whitemoor Jn – Wisbech	86	18	93	60	6	N	N	N	N	N	N	N	N	Y	Line out of use (temporarily)
Anglia-Route	0455	EA1580	ETN	Ely North Jn	Trowse Jn	Ely North Jn – Trowse Jn	71	72	123	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia-Route	0455	EA1744	BFC	Europa Jn	Boss Hall Jn	Europa Jn – Boss Hall Jn	0	00	0	63	10	Y	Y	Y	Y	Y	Y	Y	Y	N	
