Anglia-Route	0421	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Anglia-Route	0421	EA1360	CAW	Acton Canal Wharf Jn	Acton Wells Jn (Change of Mileage)	Acton Canal Wharf Jn – Acton Wells Jn (Change of Mileage)	8	45	8	77	Y	Y	R1	N	N	R1 R2	N	R1 5mph CAW/15 Victoria Road down (8m 61ch) R2 15mph CAW/15 Victoria Road up (8m 61ch)
Anglia-Route	0421	EA1360	WAW	Acton Wells Jn (Change of Mileage)	Route Boundary (MD167) Willesden West London Jn)	Acton Wells Jn (Change of Mileage) – Route Boundary (MD167) Willesden West London Jn)	6	19	6	76	Y	Y	Y	EH R1	N	Y	N	R1 Prohibited with footsteps fitted
Anglia-Route	0421	EA1360	CAW	Acton Wells Jn (Change of Mileage)	Acton Wells Jn	Acton Wells Jn (Change of Mileage) – Acton Wells Jn	0	63	0	66	Y	Y	Y	N	N	Y	N	
Anglia-Route	0421	EA1370	GOJ	Gospel Oak Jn	Junction Rd Jn	Gospel Oak Jn – Junction Rd Jn	0	00	0	58	Y	Y	Y	N	N	N	EH	
Anglia-Route	0421	EA1370	JRT2	Junction Rd Jn	Route Boundary (LN3210) (Carlton Rd Jn)	Junction Rd Jn – Route Boundary (LN3210) (Carlton Rd Jn)	2	42	2	38	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1370	TAH1	Junction Rd Jn	Harringay Park Jn	Junction Rd Jn – Harringay Park Jn	2	42	4	15	Y	Y	R1	N	N	N	EH	R1 Prohibited Upper Holloway Down platform with deflated suspension
Anglia-Route	0421	EA1370	HPW	Harringay Park Jn	Route Boundary (LN165) (Harringay Jn)	Harringay Park Jn – Route Boundary (LN165) (Harringay Jn)	0	25	0	14	Y	Y	Y	N	N	N	EH	
Anglia-Route	0421	EA1370	TAH1	Harringay Park Jn	South Tottenham West Jn	Harringay Park Jn – South Tottenham West Jn	4	15	5	65	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1370	TAH1	South Tottenham West Jn	South Tottenham East Jn	South Tottenham West Jn – South Tottenham East Jn	5	65	5	73	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1370	TAH2	South Tottenham East Jn	Woodgrange Park Jn	South Tottenham East Jn – Woodgrange Park Jn	5	73	11	79	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1370	TAH3	Woodgrange Park Jn	Barking Station Jn	Woodgrange Park Jn – Barking Station Jn	11	79	13	12	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1370	TAH3	Barking Station Jn	Barking Tilbury Jn West	Barking Station Jn – Barking Tilbury Jn West	13	12	13	42	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1370	TAH4	Barking Station Jn	Barking Platform 1	Barking Station Jn – Barking Platform 1	13	12	13	62	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS1	Fenchurch Street	Gas Factory Jn	Fenchurch Street – Gas Factory Jn	0	00	2	57	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS1	Gas Factory Jn	East Ham Depot	Gas Factory Jn – East Ham Depot	2	57	6	18	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS1	East Ham Depot	Barking Tilbury Jn West	East Ham Depot – Barking Tilbury Jn West	6	18	7	33	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS2	Barking Tilbury Jn West	Barking Tilbury Jn East	Barking Tilbury Jn West – Barking Tilbury Jn East	7	33	7	60	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS2	Barking Tilbury Jn East	Upminster	Barking Tilbury Jn East – Upminster	7	60	15	20	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS2	Upminster	Southend Central	Upminster – Southend Central	15	20	35	55	Y	Y	N	N	N	N	N	
Anglia-Route	0421	EA1380	FSS3	Southend Central	Shoeburyness	Southend Central – Shoeburyness	35	55	39	40	Y	Y	N	N	N	N	N	
